matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0055,matlab_sweep_00,55,2.993502359766576,1,2.511681341844469,eligible,pmks_positive_0055,matched,
matlab_0056,matlab_sweep_00,56,3.0109556522865191,1,2.5150930627662604,eligible,pmks_positive_0056,matched,
matlab_0057,matlab_sweep_00,57,3.0284089448064622,1,2.5180907694233996,eligible,pmks_positive_0057,matched,
matlab_0058,matlab_sweep_00,58,3.0458622373264053,1,2.5206681057263931,eligible,pmks_positive_0058,matched,
matlab_0059,matlab_sweep_00,59,3.0633155298463484,1,2.5228195759261003,eligible,pmks_positive_0059,matched,
matlab_0060,matlab_sweep_00,60,3.0807688223662915,1,2.5245405703402803,eligible,pmks_positive_0060,matched,
matlab_0061,matlab_sweep_00,61,3.0982221148862346,1,2.5258273871375376,eligible,pmks_positive_0061,matched,
matlab_0062,matlab_sweep_00,62,3.1156754074061777,1,2.526677249966395,eligible,pmks_positive_0062,matched,
matlab_0063,matlab_sweep_00,63,3.1331286999261208,1,2.5270883212560196,eligible,pmks_positive_0063,matched,
matlab_0064,matlab_sweep_00,64,3.1505819924460634,1,2.5270597110567241,eligible,pmks_positive_0064,matched,
matlab_0065,matlab_sweep_00,65,3.1680352849660065,1,2.5265914813321504,eligible,pmks_positive_0065,matched,
matlab_0066,matlab_sweep_00,66,3.1854885774859496,1,2.5256846456601871,eligible,pmks_positive_0066,matched,
matlab_0067,matlab_sweep_00,67,3.2029418700058927,1,2.5243411643456461,eligible,pmks_positive_0067,matched,
matlab_0068,matlab_sweep_00,68,3.2203951625258358,1,2.5225639349935474,eligible,pmks_positive_0068,matched,
matlab_0069,matlab_sweep_00,69,3.2378484550457789,1,2.520356778636871,eligible,pmks_positive_0069,matched,
matlab_0070,matlab_sweep_00,70,3.255301747565722,1,2.5177244215562755,eligible,pmks_positive_0070,matched,
matlab_0071,matlab_sweep_00,71,3.2727550400856655,1,2.5146724729703895,eligible,pmks_positive_0071,matched,
matlab_0072,matlab_sweep_00,72,3.2902083326056086,1,2.5112073988138248,eligible,pmks_positive_0072,matched,
matlab_0073,matlab_sweep_00,73,3.3076616251255517,1,2.5073364918548822,eligible,pmks_positive_0073,matched,
matlab_0074,matlab_sweep_00,74,3.3251149176454948,1,2.5030678384359595,eligible,pmks_positive_0074,matched,
matlab_0075,matlab_sweep_00,75,3.3425682101654375,1,2.4984102821462901,eligible,pmks_positive_0075,matched,
matlab_0076,matlab_sweep_00,76,3.360021502685381,1,2.4933733847585446,eligible,pmks_positive_0076,matched,
matlab_0077,matlab_sweep_00,77,3.3774747952053241,1,2.4879673847780208,eligible,pmks_positive_0077,matched,
matlab_0078,matlab_sweep_00,78,3.3949280877252672,1,2.4822031539651483,eligible,pmks_positive_0078,matched,
matlab_0079,matlab_sweep_00,79,3.4123813802452103,1,2.4760921521993695,eligible,pmks_positive_0079,matched,
matlab_0080,matlab_sweep_00,80,3.4298346727651534,1,2.4696463810545199,eligible,pmks_positive_0080,matched,
matlab_0081,matlab_sweep_00,81,3.4472879652850961,1,2.4628783364536906,eligible,pmks_positive_0081,matched,
matlab_0082,matlab_sweep_00,82,3.4647412578050396,1,2.4558009607645195,eligible,pmks_positive_0082,matched,
matlab_0083,matlab_sweep_00,83,3.4821945503249827,1,2.4484275946851164,eligible,pmks_positive_0083,matched,
matlab_0084,matlab_sweep_00,84,3.4996478428449254,1,2.4407719292561039,eligible,pmks_positive_0084,matched,
matlab_0085,matlab_sweep_00,85,3.5171011353648689,1,2.4328479583164886,eligible,pmks_positive_0085,matched,
matlab_0086,matlab_sweep_00,86,3.534554427884812,1,2.4246699317003033,eligible,pmks_positive_0086,matched,
matlab_0087,matlab_sweep_00,87,3.5520077204047551,1,2.4162523094481227,eligible,pmks_positive_0087,matched,
matlab_0088,matlab_sweep_00,88,3.5694610129246982,1,2.407609717282571,eligible,pmks_positive_0088,matched,
matlab_0089,matlab_sweep_00,89,3.5869143054446413,1,2.3987569035709764,eligible,pmks_positive_0089,matched,
matlab_0090,matlab_sweep_00,90,3.6043675979645839,1,2.3897086979711881,eligible,pmks_positive_0090,matched,
matlab_0091,matlab_sweep_00,91,3.621820890484527,1,2.3804799719292133,eligible,pmks_positive_0091,matched,
matlab_0092,matlab_sweep_00,92,3.6392741830044701,1,2.371085601169896,eligible,pmks_positive_0092,matched,
matlab_0093,matlab_sweep_00,93,3.6567274755244137,1,2.3615404302947915,eligible,pmks_positive_0093,matched,
matlab_0094,matlab_sweep_00,94,3.6741807680443563,1,2.351859239575127,eligible,pmks_positive_0094,matched,
matlab_0095,matlab_sweep_00,95,3.6916340605642999,1,2.3420567140023136,eligible,pmks_positive_0095,matched,
matlab_0096,matlab_sweep_00,96,3.709087353084243,1,2.3321474146346022,eligible,pmks_positive_0096,matched,
matlab_0097,matlab_sweep_00,97,3.7265406456041861,1,2.3221457522557332,eligible,pmks_positive_0097,matched,
matlab_0098,matlab_sweep_00,98,3.7439939381241287,1,2.312065963340618,eligible,pmks_positive_0098,matched,
matlab_0099,matlab_sweep_00,99,3.7614472306440723,1,2.3019220883038334,eligible,pmks_positive_0099,matched,
matlab_0100,matlab_sweep_00,100,3.7789005231640154,1,2.2917279519893801,eligible,pmks_positive_0100,matched,
matlab_0101,matlab_sweep_00,101,3.796353815683958,1,2.2814971463446545,eligible,pmks_positive_0101,matched,
matlab_0102,matlab_sweep_00,102,3.8138071082039011,1,2.2712430152079519,eligible,pmks_positive_0102,matched,
matlab_0103,matlab_sweep_00,103,3.8312604007238447,1,2.2609786411271133,eligible,pmks_positive_0103,matched,
matlab_0104,matlab_sweep_00,104,3.8487136932437878,1,2.2507168341168939,eligible,pmks_positive_0104,matched,
matlab_0105,matlab_sweep_00,105,3.8661669857637309,1,2.2404701222545054,eligible,pmks_positive_0105,matched,
