sample_id,position,velocity,acceleration
pmks_positive_0000,0,0,0
pmks_positive_0001,-0.053211796146026558,3.2435313375516035,6.0635467479266421
pmks_positive_0002,-0.10810782902156646,3.3436912439964468,5.9550566221978078
pmks_positive_0003,-0.16465796350907169,3.4420138372824303,5.8430768108318478
pmks_positive_0004,-0.22283109520053479,3.5384413461994839,5.7276546318063035
pmks_positive_0005,-0.2825951635447197,3.632916813168781,5.60884042721508
pmks_positive_0006,-0.34391716583449039,3.7253841458738508,5.4866877115394779
pmks_positive_0007,-0.40676317207548607,3.8157881714002624,5.3612533243373397
pmks_positive_0008,-0.47109834077851076,3.9040746929538499,5.2325975868929335
pmks_positive_0009,-0.53688693571915991,3.9901905492190304,5.1007844622820038
pmks_positive_0010,-0.6040923437091017,4.074083676408959,4.9658817182105093
pmks_positive_0011,-0.6726770934242623,4.155703173047673,4.8279610918822407
pmks_positive_0012,-0.74260287533567215,4.2349993675110875,4.6870984560397435
pmks_positive_0013,-0.81383056278907695,4.3119238883384181,4.5433739852052293
pmks_positive_0014,-0.88632023427946294,4.3864297373084558,4.3968723210239409
pmks_positive_0015,-0.96003119696640837,4.4584713652556118,4.2476827354823206
pmks_positive_0016,-1.0349220114755564,4.5280047505792229,4.0958992906384069
pmks_positive_0017,-1.1109505180305526,4.5949874803756208,3.9416209933631658
pmks_positive_0018,-1.1880738639583708,4.6593788340963345,3.7849519434503653
pmks_positive_0019,-1.2662485326091772,4.7211398696072546,3.6260014733109034
pmks_positive_0020,-1.3454303737294246,4.780233511492626,3.464884277327033
pmks_positive_0021,-1.4255746353241179,4.8366246414145566,3.3017205288051308
pmks_positive_0022,-1.5066359970406715,4.8902801903032627,3.1366359823348757
pmks_positive_0023,-1.5885686051027044,4.9411692321156906,2.9697620592411287
pmks_positive_0024,-1.6713261088174995,4.9892630788606898,2.8012359137053648
pmks_positive_0025,-1.7548616986754286,5.0345353765477041,2.6312004770397706
pmks_positive_0026,-1.8391281460535396,5.0769622016733473,2.459804477522864
pmks_positive_0027,-1.9240778445288207,5.1165221578165907,2.2872024331545484
pmks_positive_0028,-2.0096628527989928,5.1531964718690286,2.1135546146649293
pmks_positive_0029,-2.095834939200568,5.1869690893822584,1.9390269761193211
pmks_positive_0030,-2.1825456278047923,5.2178267684704567,1.7637910505056813
pmks_positive_0031,-2.2697462460623932,5.2457591716632628,1.5880238077742386
pmks_positive_0032,-2.3573879739577102,5.270758955062985,1.4119074729263805
pmks_positive_0033,-2.4454218946215587,5.2928218541214029,1.2356293019242468
pmks_positive_0034,-2.5337990463405653,5.3119467653161454,1.0593813134169952
pmks_positive_0035,-2.6224704758884165,5.3281358229754225,0.88335997455687698
