sample_id,torque_nm
matlab_0000,1474.5549914266414
matlab_0001,3216.009239862783
matlab_0002,6219.5020297654346
matlab_0003,13427.125286129864
matlab_0004,42124.036640671176
matlab_0005,686338.21656267648
matlab_0006,686338.21656267648
matlab_0007,42124.036640671176
matlab_0008,13427.125286129864
matlab_0009,6219.5020297654346
matlab_0010,3216.009239862783
matlab_0011,1474.5549914266408
matlab_0012,55.715999328227795
matlab_0013,-1670.2708889075082
matlab_0014,-4899.097297309424
matlab_0015,-14873.3084082772
matlab_0016,-103656.97746021514
matlab_0017,-103656.97746021514
matlab_0018,-14873.3084082772
matlab_0019,-4899.097297309424
matlab_0020,-1670.2708889075082
matlab_0021,55.715999328227795
matlab_0022,1474.5549914266408
