sample_id,sweep_id,sweep_index,input_angle_rad,input_direction,time_s,jacobian_condition,eligibility
matlab_0000,matlab_sweep_00,0,1.7359450042095235,1,0,6.6915251011313481,eligible
matlab_0001,matlab_sweep_00,1,1.7533982967294668,1,0.01666666666666667,6.6653234214531647,eligible
matlab_0002,matlab_sweep_00,2,1.7708515892494103,1,0.03333333333333334,6.643022649365081,eligible
matlab_0003,matlab_sweep_00,3,1.7883048817693534,1,0.05000000000000001,6.624680944007749,eligible
matlab_0004,matlab_sweep_00,4,1.8057581742892967,1,0.06666666666666668,6.6103731881475785,eligible
matlab_0005,matlab_sweep_00,5,1.8232114668092401,1,0.083333333333333343,6.600192097214082,eligible
matlab_0006,matlab_sweep_00,6,1.8406647593291836,1,0.10000000000000002,6.5942495805583565,eligible
matlab_0007,matlab_sweep_00,7,1.8581180518491267,1,0.11666666666666668,6.5926783946736256,eligible
matlab_0008,matlab_sweep_00,8,1.8755713443690702,1,0.13333333333333336,6.5956341379006274,eligible
matlab_0009,matlab_sweep_00,9,1.8930246368890133,1,0.15000000000000002,6.6032976483566062,eligible
matlab_0010,matlab_sweep_00,10,1.9104779294089569,1,0.16666666666666669,6.6158778822352398,eligible
matlab_0011,matlab_sweep_00,11,1.9279312219289,1,0.18333333333333335,6.633615369238175,eligible
matlab_0012,matlab_sweep_00,12,1.9453845144488435,1,0.20000000000000004,6.6567863670926251,eligible
matlab_0013,matlab_sweep_00,13,1.9628378069687866,1,0.2166666666666667,6.6857078697587013,eligible
matlab_0014,matlab_sweep_00,14,1.9802910994887302,1,0.23333333333333336,6.7207436666244309,eligible
matlab_0015,matlab_sweep_00,15,1.9977443920086733,1,0.25,6.762311706336396,eligible
matlab_0016,matlab_sweep_00,16,2.0151976845286166,1,0.26666666666666672,6.8108930940098134,eligible
matlab_0017,matlab_sweep_00,17,2.0326509770485597,1,0.28333333333333338,6.8670431516703605,eligible
matlab_0018,matlab_sweep_00,18,2.0501042695685028,1,0.30000000000000004,6.9314051094028324,eligible
matlab_0019,matlab_sweep_00,19,2.0675575620884459,1,0.31666666666666671,7.0047271842119319,eligible
matlab_0020,matlab_sweep_00,20,2.085010854608389,1,0.33333333333333337,7.0878840679327126,eligible
matlab_0021,matlab_sweep_00,21,2.1024641471283321,1,0.35000000000000003,7.1819042192648377,eligible
matlab_0022,matlab_sweep_00,22,2.1199174396482752,1,0.3666666666666667,7.2880048913503206,eligible
matlab_0023,matlab_sweep_00,23,2.1373707321682183,1,0.38333333333333336,7.4076376086296367,eligible
matlab_0024,matlab_sweep_00,24,2.1548240246881614,1,0.40000000000000008,7.5425479682962662,eligible
matlab_0025,matlab_sweep_00,25,2.1722773172081045,1,0.41666666666666669,7.6948554005316847,eligible
matlab_0026,matlab_sweep_00,26,2.1897306097280476,1,0.4333333333333334,7.8671612432982023,eligible
matlab_0027,matlab_sweep_00,27,2.2071839022479907,1,0.45000000000000001,8.0626978014628143,eligible
matlab_0028,matlab_sweep_00,28,2.2246371947679338,1,0.46666666666666673,8.2855380849992653,eligible
matlab_0029,matlab_sweep_00,29,2.2420904872878769,1,0.48333333333333339,8.5408977134895725,eligible
matlab_0030,matlab_sweep_00,30,2.25954377980782,1,0.5,8.8355809649158239,eligible
matlab_0031,matlab_sweep_00,31,2.276997072327763,1,0.51666666666666672,9.17865999011679,eligible
matlab_0032,matlab_sweep_00,32,2.2944503648477061,1,0.53333333333333344,9.582546329573864,eligible
matlab_0033,matlab_sweep_00,33,2.3119036573676492,1,0.55000000000000004,10.064753944994145,eligible
matlab_0034,matlab_sweep_00,34,2.3293569498875923,1,0.56666666666666676,10.65095146040945,eligible
matlab_0035,matlab_sweep_00,35,2.3468102424075354,1,0.58333333333333337,11.380589315589242,eligible
matlab_0036,matlab_sweep_00,36,2.3642635349274785,1,0.60000000000000009,12.318137034356885,eligible
matlab_0037,matlab_sweep_00,37,2.3817168274474216,1,0.6166666666666667,13.578017022489323,eligible
matlab_0038,matlab_sweep_00,38,2.3991701199673647,1,0.63333333333333341,15.388651900864586,eligible
