sample_id,fx,fy
matlab_0000,18.276514023508739,79.446869942020712
matlab_0001,19.140270513068554,79.056717065439187
matlab_0002,20.037322286513231,78.690127128377583
matlab_0003,20.979774831524963,78.346791521503619
matlab_0004,21.980544506371309,78.026688029719352
matlab_0005,23.053571014649197,77.730081333050805
matlab_0006,24.214063639450796,77.45752681741574
matlab_0007,25.478790287567183,77.209877692383316
matlab_0008,26.866420711121616,76.988295434917973
matlab_0009,28.39793833887547,76.794263580485122
matlab_0010,30.097139224455354,76.62960485613236
matlab_0011,31.991242071611545,76.496501578676956
matlab_0012,34.111640648200094,76.397519100260411
matlab_0013,36.494839895832285,76.335631834215803
matlab_0014,39.183630758430219,76.314250974639393
matlab_0015,42.228577766420464,76.337252334957839
matlab_0016,45.689920059248074,76.409001616689054
matlab_0017,49.640024313844748,76.53437262505237
matlab_0018,54.166582312933855,76.718751057401619
matlab_0019,59.376824901144857,76.968011816086644
matlab_0020,65.403140846902616,77.288450185975037
matlab_0021,72.410664498467924,77.686634703114791
matlab_0022,80.607664159405289,78.169128716037889
matlab_0023,90.259980694733187,78.741992475323912
matlab_0024,101.71143024925753,79.409917178691799
matlab_0025,115.41316666804073,80.174736551673462
matlab_0026,131.96680604377974,81.032871807646259
matlab_0027,152.18922103501831,81.970916732075366
matlab_0028,177.21242220231812,82.957907839359308
matlab_0029,208.64207769953683,83.931526150611973
matlab_0030,248.81764250822877,84.772826800137992
matlab_0031,301.25607708834099,85.258427682064706
matlab_0032,371.44390229416626,84.966307182415591
matlab_0033,468.32965686700453,83.080612979671017
matlab_0034,607.32686813058001,77.960958045818671
matlab_0035,816.868945260582,66.113156748199231
matlab_0036,1154.2861978746785,39.461369999673245
matlab_0037,1749.9683770472134,-22.961495541206634
matlab_0038,2956.6250271367435,-185.86415926970326
matlab_0039,6030.7888386858822,-713.51833707193362
matlab_0040,18555.529982078391,-3465.5400440677299
matlab_0041,330177.42221287428,-98427.41687739981
matlab_0042,330177.42221287428,-98427.41687739981
matlab_0043,18555.529982078391,-3465.5400440677299
matlab_0044,6030.7888386858822,-713.51833707193362
matlab_0045,2956.6250271367435,-185.86415926970326
matlab_0046,1749.9683770472134,-22.961495541206634
matlab_0047,1154.2861978746785,39.461369999673245
matlab_0048,816.868945260582,66.113156748199231
matlab_0049,607.32686813058001,77.960958045818671
matlab_0050,468.32965686700453,83.080612979671017
matlab_0051,371.44390229416626,84.966307182415591
matlab_0052,301.25607708834099,85.258427682064706
matlab_0053,248.81764250822877,84.772826800137992
matlab_0054,208.64207769953683,83.931526150611973
matlab_0055,177.21242220231812,82.957907839359308
matlab_0056,152.18922103501831,81.970916732075366
matlab_0057,131.96680604377974,81.032871807646259
matlab_0058,115.41316666804073,80.174736551673462
matlab_0059,101.71143024925753,79.409917178691799
matlab_0060,90.259980694733187,78.741992475323912
matlab_0061,80.607664159405289,78.169128716037889
matlab_0062,72.410664498467924,77.686634703114791
matlab_0063,65.403140846902616,77.288450185975037
matlab_0064,59.376824901144857,76.968011816086644
matlab_0065,54.166582312933855,76.718751057401619
matlab_0066,49.640024313844748,76.53437262505237
matlab_0067,45.689920059248074,76.409001616689054
matlab_0068,42.228577766420464,76.337252334957839
matlab_0069,39.183630758430219,76.314250974639393
matlab_0070,36.494839895832285,76.335631834215803
matlab_0071,34.111640648200094,76.397519100260411
matlab_0072,31.991242071611545,76.496501578676956
matlab_0073,30.097139224455354,76.62960485613236
matlab_0074,28.39793833887547,76.794263580485122
matlab_0075,26.866420711121616,76.988295434917973
matlab_0076,25.478790287567183,77.209877692383316
matlab_0077,24.214063639450796,77.45752681741574
matlab_0078,23.053571014649197,77.730081333050805
