sample_id,time_s,x,y,speed,acceleration
motiongen_0000,0,-0.97000000000000153,10.01,6.043333333333333,2.2033333333333336
motiongen_0001,0.017000000000000001,-1.0700000000000016,10.01,6.0800000000000001,1.9433333333333334
motiongen_0002,0.033000000000000002,-1.1733333333333349,10.01,6.1133333333333342,1.6733333333333333
motiongen_0003,0.050000000000000003,-1.273333333333335,10.01,6.1400000000000006,1.3999999999999999
motiongen_0004,0.067000000000000004,-1.3766666666666683,10.01,6.1633333333333331,1.1166666666666667
motiongen_0005,0.083000000000000004,-1.4800000000000013,10.01,6.1833333333333336,0.83000000000000007
motiongen_0006,0.10000000000000001,-1.5833333333333348,10.01,6.1966666666666672,0.53666666666666674
motiongen_0007,0.11700000000000001,-1.6866666666666683,10.01,6.206666666666667,0.23999999999999999
motiongen_0008,0.13300000000000001,-1.7900000000000018,10.01,6.21,-0.063333333333333339
motiongen_0009,0.14999999999999999,-1.8933333333333349,10.01,6.21,-0.37333333333333335
motiongen_0010,0.16700000000000001,-1.9966666666666684,10.01,6.2033333333333331,-0.68333333333333335
motiongen_0011,0.183,-2.1000000000000014,10.01,6.1900000000000004,-1
motiongen_0012,0.20000000000000001,-2.2033333333333349,10.01,6.1733333333333338,-1.3200000000000001
motiongen_0013,0.217,-2.306666666666668,10.01,6.1533333333333342,-1.6433333333333333
motiongen_0014,0.23300000000000001,-2.4066666666666681,10.01,6.1266666666666669,-1.9666666666666666
motiongen_0015,0.25,-2.5100000000000016,10.01,6.0933333333333337,-2.2966666666666664
motiongen_0016,0.26700000000000002,-2.6100000000000017,10.01,6.0533333333333337,-2.6233333333333335
motiongen_0017,0.28299999999999997,-2.7133333333333347,10.01,6.0099999999999998,-2.956666666666667
motiongen_0018,0.29999999999999999,-2.8133333333333348,10.01,5.96,-3.2866666666666666
motiongen_0019,0.317,-2.9133333333333344,10.01,5.9066666666666672,-3.6166666666666667
motiongen_0020,0.33300000000000002,-3.0100000000000016,10.01,5.8466666666666667,-3.9500000000000002
motiongen_0021,0.34999999999999998,-3.1066666666666682,10.01,5.7800000000000002,-4.2800000000000002
motiongen_0022,0.36699999999999999,-3.2033333333333354,10.01,5.7100000000000009,-4.6100000000000003
motiongen_0023,0.38300000000000001,-3.3000000000000016,10.01,5.6333333333333337,-4.9366666666666674
motiongen_0024,0.40000000000000002,-3.3933333333333349,10.01,5.5500000000000007,-5.2600000000000007
