sample_id,fx,fy
matlab_0000,281.00961474946507,145.521300216165
matlab_0001,242.95490649499953,145.07200876896925
matlab_0002,244.51186648530054,166.27618817227983
matlab_0003,304.92875958039815,234.11995175136698
matlab_0004,561.72197777037809,484.70906807298172
matlab_0005,3994.2879263181148,3945.1313404415823
matlab_0006,3994.2879263181148,3945.1313404415823
matlab_0007,561.72197777037809,484.70906807298172
matlab_0008,304.92875958039815,234.11995175136698
matlab_0009,244.51186648530054,166.27618817227983
matlab_0010,242.95490649499953,145.07200876896925
matlab_0011,281.00961474946547,145.52130021616512
matlab_0012,370.94861477452764,163.42552047539746
matlab_0013,564.41117680089883,204.87275222074294
matlab_0014,1039.6038718302309,293.15942309566634
matlab_0015,2679.7732941543513,514.47899336477417
matlab_0016,17913.851328270033,1369.8830726230563
matlab_0017,17913.851328270033,1369.8830726230563
matlab_0018,2679.7732941543513,514.47899336477417
matlab_0019,1039.6038718302309,293.15942309566634
matlab_0020,564.41117680089883,204.87275222074294
matlab_0021,370.94861477452764,163.42552047539746
matlab_0022,281.00961474946547,145.52130021616512
