sample_id,fx,fy
matlab_0000,-29.412002741522674,-154.75986283544665
matlab_0001,-146.05723196104529,-80.05247476395229
matlab_0002,-295.549335914864,2.2750552750940667
matlab_0003,-573.37154051633217,139.87625417969781
matlab_0004,-1406.8954222623988,544.93950953251317
matlab_0005,-11581.144075379765,5810.6268722464965
matlab_0006,-11581.144075379765,5810.6268722464965
matlab_0007,-1406.8954222623988,544.93950953251317
matlab_0008,-573.37154051633217,139.87625417969781
matlab_0009,-295.549335914864,2.2750552750940667
matlab_0010,-146.05723196104529,-80.05247476395229
matlab_0011,-29.412002741522628,-154.75986283544691
matlab_0012,101.92663955914568,-247.91348731695294
matlab_0013,310.40438129793966,-395.86578695296407
matlab_0014,768.99804091304543,-692.52364586920658
matlab_0015,2313.9562946348196,-1530.2136104331255
matlab_0016,16871.479236809366,-7206.6737748455789
matlab_0017,16871.479236809366,-7206.6737748455789
matlab_0018,2313.9562946348196,-1530.2136104331255
matlab_0019,768.99804091304543,-692.52364586920658
matlab_0020,310.40438129793966,-395.86578695296407
matlab_0021,101.92663955914568,-247.91348731695294
matlab_0022,-29.412002741522628,-154.75986283544691
