sample_id,torque_nm
matlab_0000,1844.3174729930561
matlab_0001,3483.3041482647805
matlab_0002,6371.7624462305657
matlab_0003,13428.684543542464
matlab_0004,41870.483757103437
matlab_0005,685159.01702830743
matlab_0006,685159.01702830743
matlab_0007,41870.483757103437
matlab_0008,13428.684543542464
matlab_0009,6371.7624462305657
matlab_0010,3483.3041482647805
matlab_0011,1844.3174729930554
matlab_0012,528.62647930061769
matlab_0013,-1080.3117596107197
matlab_0014,-4155.8421407911483
matlab_0015,-13880.732486662853
matlab_0016,-102001.44091590792
matlab_0017,-102001.44091590792
matlab_0018,-13880.732486662853
matlab_0019,-4155.8421407911483
matlab_0020,-1080.3117596107197
matlab_0021,528.62647930061769
matlab_0022,1844.3174729930554
