Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:21:16.309,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1.013, -0.031, -0.397, 0.488, -58.594, -0.183, -175.281, 61.441, -42.819, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.352,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.785, 0.022, 1.331, -0.305, 20.935, 0, 1.126, -35.486, 34.464, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.352,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.739, 0.021, 1.331, -0.244, 22.827, 0, 1.093, -34.288, 34.492, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.397,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1.051, -0.031, -0.37, 0.488, -59.875, 0, -174.771, 64.44, -42.446, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.399,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1.079, -0.031, -0.292, 0.488, -62.927, 0, -174.106, 67.566, -41.902, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.457,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.670, -1.08, -0.029, -0.241, 0.427, -59.937, 0, -173.243, 70.637, -41.155, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.472,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.722, 0.021, 1.329, -0.305, 24.597, 0, 1.06, -32.997, 34.519, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.472,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.713, 0.021, 1.328, -0.305, 23.804, 0, 1.022, -31.729, 34.547, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.487,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.670, -1.062, -0.025, -0.198, 0.427, -58.472, 0, -172.128, 73.548, -40.15, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.578,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.670, -1.106, -0.031, -0.172, 0.488, -60.73, 0, -170.491, 76.509, -38.611, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.623,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.703, 0.021, 1.329, -0.366, 24.963, 0, 0.994, -30.465, 34.574, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.623,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.641, 0.02, 1.329, -0.366, 27.527, 0, 0.961, -29.119, 34.601, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.638,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.670, -1.112, -0.03, -0.078, 0.549, -63.171, 0, -167.734, 79.629, -35.936, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.638,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.670, -1.074, -0.03, -0.033, 0.427, -59.021, 0, -162.949, 82.568, -31.229, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.653,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.63, 0.02, 1.322, -0.366, 27.893, 0, 0.928, -27.702, 34.634, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
 12:21:16.683,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.629, 0.019, 1.321, -0.366, 26.672, 0, 0.901, -26.362, 34.656, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
 12:21:16.698,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.670, -1.081, -0.029, -0.003, 0.366, -60.12, 0, -152.836, 85.287, -21.171, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.713,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.584, 0.021, 1.32, -0.366, 29.663, 0, 0.868, -24.994, 34.684, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
 12:21:16.773,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.542, 0.021, 1.313, -0.366, 31.677, 0, 0.84, -23.5, 34.711, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
 12:21:16.788,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.670, -1.117, -0.028, 0.05, 0.488, -65.43, 0, -116.647, 87.632, 15.079, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:16.818,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.055, -1.086, -0.028, 0.146, 0.549, -61.218, 0, -45.401, 87.045, 86.539, 0.000, 0.000, -3211.264, 24.95, 0.29828, -0.65665, 0.27954, 0.6337,
 12:21:16.833,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.715, 0.546, 0.02, 1.307, -0.305, 28.931, 0, 0.818, -22.061, 34.733, 0.000, 0.000, -3211.264, 25.1, 0.92426, 0.08139, -0.23416, 0.29016,
