sample_id,time_s,x,y,speed,acceleration
motiongen_0000,0,2.0529999999999999,3.5430000000000001,2.3210000000000002,-2.02
motiongen_0001,0.017000000000000001,2.085,3.5649999999999999,2.2879999999999998,-2.125
motiongen_0002,0.033000000000000002,2.1160000000000001,3.5880000000000001,2.2519999999999998,-2.226
motiongen_0003,0.050000000000000003,2.1459999999999999,3.609,2.2149999999999999,-2.3210000000000002
motiongen_0004,0.067000000000000004,2.1760000000000002,3.6309999999999998,2.1760000000000002,-2.411
motiongen_0005,0.083000000000000004,2.206,3.6520000000000001,2.1360000000000001,-2.4950000000000001
motiongen_0006,0.10000000000000001,2.234,3.673,2.0950000000000002,-2.573
motiongen_0007,0.11700000000000001,2.2629999999999999,3.6930000000000001,2.052,-2.645
motiongen_0008,0.13300000000000001,2.29,3.714,2.008,-2.71
motiongen_0009,0.14999999999999999,2.3170000000000002,3.734,1.9630000000000001,-2.7690000000000001
motiongen_0010,0.16700000000000001,2.343,3.7530000000000001,1.9159999999999999,-2.8220000000000001
motiongen_0011,0.183,2.3690000000000002,3.7719999999999998,1.869,-2.867
motiongen_0012,0.20000000000000001,2.3940000000000001,3.7909999999999999,1.8220000000000001,-2.9060000000000001
motiongen_0013,0.217,2.4180000000000001,3.8100000000000001,1.7729999999999999,-2.9380000000000002
motiongen_0014,0.23300000000000001,2.4409999999999998,3.8279999999999998,1.724,-2.9630000000000001
motiongen_0015,0.25,2.4630000000000001,3.8460000000000001,1.675,-2.9809999999999999
motiongen_0016,0.26700000000000002,2.4849999999999999,3.8639999999999999,1.625,-2.992
motiongen_0017,0.28299999999999997,2.5049999999999999,3.8809999999999998,1.575,-2.996
motiongen_0018,0.29999999999999999,2.5249999999999999,3.899,1.5249999999999999,-2.9940000000000002
motiongen_0019,0.317,2.544,3.915,1.4750000000000001,-2.984
motiongen_0020,0.33300000000000002,2.5630000000000002,3.9319999999999999,1.4259999999999999,-2.9670000000000001
motiongen_0021,0.34999999999999998,2.5800000000000001,3.948,1.3759999999999999,-2.9420000000000002
motiongen_0022,0.36699999999999999,2.5960000000000001,3.964,1.327,-2.911
motiongen_0023,0.38300000000000001,2.6120000000000001,3.98,1.2789999999999999,-2.8719999999999999
motiongen_0024,0.40000000000000002,2.6270000000000002,3.9950000000000001,1.2310000000000001,-2.8260000000000001
motiongen_0025,0.41699999999999998,2.6400000000000001,4.0110000000000001,1.1839999999999999,-2.7719999999999998
motiongen_0026,0.433,2.653,4.0250000000000004,1.1379999999999999,-2.71
motiongen_0027,0.45000000000000001,2.665,4.04,1.0920000000000001,-2.6400000000000001
motiongen_0028,0.46700000000000003,2.6760000000000002,4.0549999999999997,1.048,-2.5609999999999999
motiongen_0029,0.48299999999999998,2.6870000000000003,4.069,1.006,-2.4740000000000002
motiongen_0030,0.5,2.6960000000000002,4.0830000000000002,0.96399999999999997,-2.3769999999999998
motiongen_0031,0.51700000000000002,2.7050000000000001,4.0960000000000001,0.92500000000000004,-2.27
motiongen_0032,0.53300000000000003,2.7120000000000002,4.1100000000000003,0.88700000000000001,-2.153
motiongen_0033,0.55000000000000004,2.7189999999999999,4.1230000000000002,0.85099999999999998,-2.0259999999999998
motiongen_0034,0.56699999999999995,2.7250000000000001,4.1360000000000001,0.81699999999999995,-1.8879999999999999
motiongen_0035,0.58299999999999996,2.73,4.1479999999999997,0.78600000000000003,-1.74
motiongen_0036,0.59999999999999998,2.734,4.1609999999999996,0.75700000000000001,-1.5800000000000001
motiongen_0037,0.61699999999999999,2.738,4.173,0.73099999999999998,-1.411
motiongen_0038,0.63300000000000001,2.7400000000000002,4.1849999999999996,0.70699999999999996,-1.2330000000000001
motiongen_0039,0.65000000000000002,2.742,4.1959999999999997,0.68600000000000005,-1.0469999999999999
motiongen_0040,0.66700000000000004,2.7429999999999999,4.2080000000000002,0.66900000000000004,-0.85499999999999998
motiongen_0041,0.68300000000000005,2.7429999999999999,4.2190000000000003,0.65500000000000003,-0.66000000000000003
motiongen_0042,0.69999999999999996,2.7429999999999999,4.2300000000000004,0.64400000000000002,-0.46400000000000002
motiongen_0043,0.71699999999999997,2.7410000000000001,4.2400000000000002,0.63600000000000001,-0.27100000000000002
motiongen_0044,0.73299999999999998,2.7389999999999999,4.2510000000000003,0.63200000000000001,-0.084000000000000005
motiongen_0045,0.75,2.7360000000000002,4.2610000000000001,0.63,0.096000000000000002
motiongen_0046,0.76700000000000002,2.7330000000000001,4.2709999999999999,0.63200000000000001,0.26400000000000001
motiongen_0047,0.78300000000000003,2.7290000000000001,4.2800000000000002,0.63600000000000001,0.41999999999999998
motiongen_0048,0.80000000000000004,2.7240000000000002,4.29,0.64300000000000002,0.56200000000000006
motiongen_0049,0.81699999999999995,2.718,4.2990000000000004,0.65200000000000002,0.68899999999999995
motiongen_0050,0.83299999999999996,2.7109999999999999,4.3079999999999998,0.66400000000000003,0.80200000000000005
motiongen_0051,0.84999999999999998,2.7040000000000002,4.3159999999999998,0.67700000000000005,0.90100000000000002
motiongen_0052,0.86699999999999999,2.6970000000000001,4.3239999999999998,0.69199999999999995,0.98599999999999999
motiongen_0053,0.88300000000000001,2.6880000000000002,4.3319999999999999,0.70899999999999996,1.0580000000000001
motiongen_0054,0.90000000000000002,2.6790000000000003,4.3399999999999999,0.72599999999999998,1.119
motiongen_0055,0.91700000000000004,2.6699999999999999,4.3479999999999999,0.745,1.169
motiongen_0056,0.93300000000000005,2.6600000000000001,4.3550000000000004,0.76500000000000001,1.2090000000000001
motiongen_0057,0.94999999999999996,2.649,4.3609999999999998,0.78500000000000003,1.2410000000000001
motiongen_0058,0.96699999999999997,2.6379999999999999,4.3680000000000003,0.80500000000000005,1.266
motiongen_0059,0.98299999999999998,2.6259999999999999,4.3739999999999997,0.82599999999999996,1.284
motiongen_0060,1,2.613,4.3799999999999999,0.84799999999999998,1.296
motiongen_0061,1.0169999999999999,2.6000000000000001,4.3860000000000001,0.86899999999999999,1.304
motiongen_0062,1.0329999999999999,2.5870000000000002,4.391,0.89100000000000001,1.3069999999999999
motiongen_0063,1.05,2.573,4.3959999999999999,0.91300000000000003,1.306
motiongen_0064,1.0669999999999999,2.5579999999999998,4.4009999999999998,0.93500000000000005,1.302
motiongen_0065,1.083,2.5430000000000001,4.4050000000000002,0.95599999999999996,1.2949999999999999
motiongen_0066,1.1000000000000001,2.528,4.4089999999999998,0.97799999999999998,1.2849999999999999
motiongen_0067,1.117,2.512,4.4130000000000003,0.999,1.274
motiongen_0068,1.133,2.496,4.4160000000000004,1.0209999999999999,1.2609999999999999
motiongen_0069,1.1499999999999999,2.4790000000000001,4.4189999999999996,1.042,1.246
motiongen_0070,1.167,2.4620000000000002,4.4219999999999997,1.0620000000000001,1.23
motiongen_0071,1.1830000000000001,2.444,4.4240000000000004,1.083,1.2130000000000001
motiongen_0072,1.2,2.4260000000000002,4.4260000000000002,1.103,1.194
motiongen_0073,1.2170000000000001,2.4079999999999999,4.4279999999999999,1.123,1.175
motiongen_0074,1.2330000000000001,2.3890000000000002,4.4290000000000003,1.143,1.1559999999999999
motiongen_0075,1.25,2.3700000000000001,4.4299999999999997,1.1619999999999999,1.1359999999999999
motiongen_0076,1.2669999999999999,2.351,4.431,1.181,1.115
motiongen_0077,1.2829999999999999,2.331,4.431,1.1990000000000001,1.0940000000000001
motiongen_0078,1.3,2.3109999999999999,4.431,1.218,1.073
motiongen_0079,1.3169999999999999,2.2909999999999999,4.431,1.236,1.0509999999999999
motiongen_0080,1.333,2.2709999999999999,4.4299999999999997,1.2529999999999999,1.03
motiongen_0081,1.3500000000000001,2.25,4.4290000000000003,1.27,1.008
motiongen_0082,1.367,2.2290000000000001,4.4279999999999999,1.2869999999999999,0.98599999999999999
motiongen_0083,1.383,2.2069999999999999,4.4260000000000002,1.3029999999999999,0.96399999999999997
motiongen_0084,1.3999999999999999,2.1859999999999999,4.423,1.3200000000000001,0.94199999999999995
motiongen_0085,1.417,2.1640000000000001,4.4210000000000003,1.335,0.92000000000000004
motiongen_0086,1.4330000000000001,2.1419999999999999,4.4180000000000001,1.351,0.89800000000000002
motiongen_0087,1.45,2.1190000000000002,4.415,1.3660000000000001,0.876
motiongen_0088,1.4670000000000001,2.097,4.4109999999999996,1.3799999999999999,0.85499999999999998
motiongen_0089,1.4830000000000001,2.0739999999999998,4.407,1.3939999999999999,0.83299999999999996
motiongen_0090,1.5,2.052,4.4029999999999996,1.4079999999999999,0.81100000000000005
motiongen_0091,1.5169999999999999,2.0289999999999999,4.3979999999999997,1.4219999999999999,0.79000000000000004
motiongen_0092,1.5329999999999999,2.0049999999999999,4.3929999999999998,1.4350000000000001,0.76800000000000002
motiongen_0093,1.55,1.982,4.3869999999999996,1.448,0.747
motiongen_0094,1.5669999999999999,1.9590000000000001,4.3810000000000002,1.46,0.72599999999999998
motiongen_0095,1.583,1.9350000000000001,4.375,1.472,0.70499999999999996
motiongen_0096,1.6000000000000001,1.9119999999999999,4.3680000000000003,1.484,0.68400000000000005
motiongen_0097,1.617,1.8879999999999999,4.3620000000000001,1.4950000000000001,0.66300000000000003
motiongen_0098,1.633,1.8640000000000001,4.3540000000000001,1.506,0.64200000000000002
motiongen_0099,1.6499999999999999,1.8400000000000001,4.3470000000000004,1.5169999999999999,0.622
motiongen_0100,1.667,1.8160000000000001,4.3390000000000004,1.528,0.60099999999999998
motiongen_0101,1.6830000000000001,1.792,4.3300000000000001,1.538,0.58099999999999996
motiongen_0102,1.7,1.768,4.3220000000000001,1.5469999999999999,0.56000000000000005
motiongen_0103,1.7170000000000001,1.744,4.3120000000000003,1.5569999999999999,0.54000000000000004
motiongen_0104,1.7330000000000001,1.7200000000000002,4.3029999999999999,1.5660000000000001,0.52000000000000002
motiongen_0105,1.75,1.6950000000000001,4.2930000000000001,1.5740000000000001,0.5
motiongen_0106,1.7669999999999999,1.671,4.2830000000000004,1.583,0.47999999999999998
motiongen_0107,1.7829999999999999,1.647,4.2729999999999997,1.591,0.46000000000000002
motiongen_0108,1.8,1.623,4.2619999999999996,1.5980000000000001,0.441
