sample_id,time_s,x,y,speed,acceleration
motiongen_0000,0,2.548,1.958,1.4990000000000001,-1.8220000000000001
motiongen_0001,0.017000000000000001,2.5649999999999999,1.976,1.4690000000000001,-1.8560000000000001
motiongen_0002,0.033000000000000002,2.5819999999999999,1.994,1.4379999999999999,-1.883
motiongen_0003,0.050000000000000003,2.5979999999999999,2.012,1.407,-1.905
motiongen_0004,0.067000000000000004,2.6139999999999999,2.0289999999999999,1.375,-1.921
motiongen_0005,0.083000000000000004,2.629,2.0459999999999998,1.343,-1.9299999999999999
motiongen_0006,0.10000000000000001,2.6429999999999998,2.0630000000000002,1.3109999999999999,-1.9330000000000001
motiongen_0007,0.11700000000000001,2.657,2.0800000000000001,1.278,-1.929
motiongen_0008,0.13300000000000001,2.6699999999999999,2.097,1.246,-1.9179999999999999
motiongen_0009,0.14999999999999999,2.6829999999999998,2.1139999999999999,1.214,-1.8999999999999999
motiongen_0010,0.16700000000000001,2.6949999999999998,2.1299999999999999,1.1830000000000001,-1.8740000000000001
motiongen_0011,0.183,2.706,2.1459999999999999,1.151,-1.841
motiongen_0012,0.20000000000000001,2.7160000000000002,2.1619999999999999,1.121,-1.7989999999999999
motiongen_0013,0.217,2.726,2.1779999999999999,1.091,-1.75
motiongen_0014,0.23300000000000001,2.7349999999999999,2.194,1.0620000000000001,-1.6930000000000001
motiongen_0015,0.25,2.7440000000000002,2.21,1.0329999999999999,-1.627
motiongen_0016,0.26700000000000002,2.7509999999999999,2.2250000000000001,1.006,-1.554
motiongen_0017,0.28299999999999997,2.758,2.2400000000000002,0.97999999999999998,-1.4730000000000001
motiongen_0018,0.29999999999999999,2.7640000000000002,2.2549999999999999,0.95599999999999996,-1.383
motiongen_0019,0.317,2.77,2.27,0.93300000000000005,-1.2869999999999999
motiongen_0020,0.33300000000000002,2.7749999999999999,2.2850000000000001,0.91100000000000003,-1.1839999999999999
motiongen_0021,0.34999999999999998,2.7789999999999999,2.2999999999999998,0.89200000000000002,-1.0740000000000001
motiongen_0022,0.36699999999999999,2.782,2.3140000000000001,0.874,-0.95899999999999996
motiongen_0023,0.38300000000000001,2.7850000000000001,2.3290000000000002,0.85799999999999998,-0.83899999999999997
motiongen_0024,0.40000000000000002,2.7869999999999999,2.343,0.84399999999999997,-0.71599999999999997
motiongen_0025,0.41699999999999998,2.7880000000000003,2.3570000000000002,0.83199999999999996,-0.58999999999999997
motiongen_0026,0.433,2.7890000000000001,2.371,0.82199999999999995,-0.46300000000000002
motiongen_0027,0.45000000000000001,2.7890000000000001,2.3839999999999999,0.81399999999999995,-0.33700000000000002
motiongen_0028,0.46700000000000003,2.7880000000000003,2.3980000000000001,0.80900000000000005,-0.21199999999999999
motiongen_0029,0.48299999999999998,2.786,2.411,0.80500000000000005,-0.089999999999999997
motiongen_0030,0.5,2.7839999999999998,2.4239999999999999,0.80400000000000005,0.029000000000000001
motiongen_0031,0.51700000000000002,2.7810000000000001,2.4369999999999998,0.80400000000000005,0.14099999999999999
motiongen_0032,0.53300000000000003,2.7770000000000001,2.4500000000000002,0.80600000000000005,0.248
motiongen_0033,0.55000000000000004,2.7730000000000001,2.4630000000000001,0.81100000000000005,0.34899999999999998
motiongen_0034,0.56699999999999995,2.7679999999999998,2.476,0.81599999999999995,0.441
motiongen_0035,0.58299999999999996,2.7629999999999999,2.488,0.82399999999999995,0.52700000000000002
motiongen_0036,0.59999999999999998,2.7560000000000002,2.5,0.83199999999999996,0.60399999999999998
motiongen_0037,0.61699999999999999,2.7490000000000001,2.512,0.84299999999999997,0.67400000000000004
motiongen_0038,0.63300000000000001,2.742,2.524,0.85399999999999998,0.73699999999999999
motiongen_0039,0.65000000000000002,2.734,2.536,0.86599999999999999,0.79200000000000004
motiongen_0040,0.66700000000000004,2.7250000000000001,2.5470000000000002,0.879,0.83999999999999997
motiongen_0041,0.68300000000000005,2.7160000000000002,2.5590000000000002,0.89300000000000002,0.88100000000000001
motiongen_0042,0.69999999999999996,2.706,2.5699999999999998,0.90800000000000003,0.91600000000000004
motiongen_0043,0.71699999999999997,2.6949999999999998,2.581,0.92300000000000004,0.94599999999999995
motiongen_0044,0.73299999999999998,2.6840000000000002,2.5910000000000002,0.93899999999999995,0.96999999999999997
motiongen_0045,0.75,2.6720000000000002,2.6019999999999999,0.95499999999999996,0.98999999999999999
motiongen_0046,0.76700000000000002,2.6600000000000001,2.6120000000000001,0.97199999999999998,1.0049999999999999
motiongen_0047,0.78300000000000003,2.6470000000000002,2.6219999999999999,0.98799999999999999,1.016
motiongen_0048,0.80000000000000004,2.6339999999999999,2.6320000000000001,1.0049999999999999,1.0229999999999999
motiongen_0049,0.81699999999999995,2.6200000000000001,2.641,1.022,1.0269999999999999
motiongen_0050,0.83299999999999996,2.6059999999999999,2.6499999999999999,1.0389999999999999,1.028
motiongen_0051,0.84999999999999998,2.5910000000000002,2.6600000000000001,1.0569999999999999,1.0269999999999999
motiongen_0052,0.86699999999999999,2.5760000000000001,2.6680000000000001,1.0740000000000001,1.0229999999999999
motiongen_0053,0.88300000000000001,2.5600000000000001,2.677,1.091,1.0169999999999999
motiongen_0054,0.90000000000000002,2.544,2.6850000000000001,1.1080000000000001,1.01
motiongen_0055,0.91700000000000004,2.528,2.6930000000000001,1.125,1
motiongen_0056,0.93300000000000005,2.5100000000000002,2.7010000000000001,1.141,0.98999999999999999
motiongen_0057,0.94999999999999996,2.4929999999999999,2.7080000000000002,1.1579999999999999,0.97799999999999998
motiongen_0058,0.96699999999999997,2.4750000000000001,2.7149999999999999,1.1739999999999999,0.96499999999999997
motiongen_0059,0.98299999999999998,2.4569999999999999,2.722,1.1899999999999999,0.95099999999999996
motiongen_0060,1,2.4380000000000002,2.7290000000000001,1.206,0.93600000000000005
motiongen_0061,1.0169999999999999,2.419,2.7349999999999999,1.222,0.92100000000000004
motiongen_0062,1.0329999999999999,2.399,2.7410000000000001,1.2370000000000001,0.90500000000000003
motiongen_0063,1.05,2.3799999999999999,2.7469999999999999,1.252,0.88800000000000001
motiongen_0064,1.0669999999999999,2.359,2.7519999999999998,1.2669999999999999,0.871
motiongen_0065,1.083,2.339,2.7570000000000001,1.2809999999999999,0.85399999999999998
motiongen_0066,1.1000000000000001,2.3180000000000001,2.762,1.296,0.83599999999999997
motiongen_0067,1.117,2.2970000000000002,2.766,1.3089999999999999,0.81899999999999995
