sample_id,fx,fy
matlab_0000,614.49231917424265,216.48286927983295
matlab_0001,1078.1282775604955,143.79780356596183
matlab_0002,1904.3633955150497,40.75398684986952
matlab_0003,3916.294987328647,-254.0365340822849
matlab_0004,11936.926048692672,-1867.6379720066623
matlab_0005,189782.77281061033,-55848.520315861111
matlab_0006,189782.77281061033,-55848.520315861111
matlab_0007,11936.926048692672,-1867.6379720066623
matlab_0008,3916.294987328647,-254.0365340822849
matlab_0009,1904.3633955150497,40.75398684986952
matlab_0010,1078.1282775604955,143.79780356596183
matlab_0011,614.49231917424265,216.48286927983338
matlab_0012,254.16373810573876,312.65635872900867
matlab_0013,-168.14490066863425,489.97193292635643
matlab_0014,-953.49852539930976,901.33057553993376
matlab_0015,-3422.5309231212732,2257.4225765266915
matlab_0016,-26006.477802652615,14042.738334673402
matlab_0017,-26006.477802652615,14042.738334673402
matlab_0018,-3422.5309231212732,2257.4225765266915
matlab_0019,-953.49852539930976,901.33057553993376
matlab_0020,-168.14490066863425,489.97193292635643
matlab_0021,254.16373810573876,312.65635872900867
matlab_0022,614.49231917424265,216.48286927983338
