sample_id,fx,fy
matlab_0000,-112.55851511205553,-52.452619617719733
matlab_0001,-219.2536878337296,21.336272065142996
matlab_0002,-360.2609534093549,102.91476825103557
matlab_0003,-630.43963475155078,239.88083773338823
matlab_0004,-1456.5515585705782,644.3791878252257
matlab_0005,-11622.176485363114,5909.4939212565068
matlab_0006,-11622.176485363114,5909.4939212565068
matlab_0007,-1456.5515585705782,644.3791878252257
matlab_0008,-630.43963475155078,239.88083773338823
matlab_0009,-360.2609534093549,102.91476825103557
matlab_0010,-219.2536878337296,21.336272065142996
matlab_0011,-112.55851511205549,-52.452619617719961
matlab_0012,6.4453005604266895,-144.42821522266269
matlab_0013,198.54350234798696,-290.7742545867041
matlab_0014,633.09135620954078,-585.02440330871184
matlab_0015,2135.9018555294479,-1418.4243880942004
matlab_0016,16577.311701358216,-7082.9188223138253
matlab_0017,16577.311701358216,-7082.9188223138253
matlab_0018,2135.9018555294479,-1418.4243880942004
matlab_0019,633.09135620954078,-585.02440330871184
matlab_0020,198.54350234798696,-290.7742545867041
matlab_0021,6.4453005604266895,-144.42821522266269
matlab_0022,-112.55851511205549,-52.452619617719961
