sample_id,position,velocity,acceleration
pmks_positive_0000,0,0,0
pmks_positive_0001,-0.053211796146024663,3.2435313375516026,6.0635467479266421
pmks_positive_0002,-0.10810782902156678,3.343691243996445,5.9550566221978105
pmks_positive_0003,-0.16465796350907008,3.4420138372824276,5.8430768108318514
pmks_positive_0004,-0.22283109520053351,3.5384413461994804,5.727654631806308
pmks_positive_0005,-0.28259516354471864,3.6329168131687766,5.6088404272150854
pmks_positive_0006,-0.34391716583448712,3.7253841458738446,5.486687711539485
pmks_positive_0007,-0.40676317207548146,3.8157881714002562,5.3612533243373486
pmks_positive_0008,-0.47109834077850504,3.9040746929538419,5.2325975868929469
pmks_positive_0009,-0.53688693571915269,3.9901905492190224,5.1007844622820171
pmks_positive_0010,-0.60409234370909404,4.0740836764089501,4.9658817182105244
pmks_positive_0011,-0.67267709342425308,4.155703173047665,4.8279610918822593
pmks_positive_0012,-0.74260287533566238,4.234999367511076,4.6870984560397639
pmks_positive_0013,-0.81383056278906762,4.3119238883384083,4.5433739852052524
pmks_positive_0014,-0.88632023427945072,4.3864297373084433,4.3968723210239657
pmks_positive_0015,-0.96003119696639583,4.4584713652555994,4.2476827354823472
pmks_positive_0016,-1.0349220114755411,4.5280047505792087,4.0958992906384344
pmks_positive_0017,-1.110950518030537,4.5949874803756074,3.9416209933631983
pmks_positive_0018,-1.1880738639583548,4.659378834096322,3.7849519434504009
pmks_positive_0019,-1.2662485326091586,4.7211398696072413,3.6260014733109402
pmks_positive_0020,-1.3454303737294029,4.7802335114926118,3.4648842773270729
pmks_positive_0021,-1.4255746353240986,4.8366246414145433,3.3017205288051716
pmks_positive_0022,-1.5066359970406518,4.8902801903032493,3.1366359823349188
pmks_positive_0023,-1.5885686051026797,4.9411692321156746,2.9697620592411758
pmks_positive_0024,-1.6713261088174751,4.9892630788606755,2.801235913705415
pmks_positive_0025,-1.7548616986754006,5.0345353765476899,2.6312004770398225
pmks_positive_0026,-1.8391281460535138,5.076962201673334,2.4598044775229182
pmks_positive_0027,-1.9240778445287914,5.1165221578165774,2.287202433154607
pmks_positive_0028,-2.0096628527989617,5.1531964718690144,2.1135546146649897
pmks_positive_0029,-2.0958349392005378,5.1869690893822478,1.9390269761193837
pmks_positive_0030,-2.1825456278047599,5.217826768470446,1.7637910505057459
pmks_positive_0031,-2.2697462460623585,5.2457591716632521,1.5880238077743052
pmks_positive_0032,-2.3573879739576755,5.2707589550629743,1.4119074729264491
pmks_positive_0033,-2.445421894621524,5.2928218541213958,1.2356293019243179
pmks_positive_0034,-2.5337990463405307,5.3119467653161392,1.0593813134170684
pmks_positive_0035,-2.622470475888377,5.3281358229754145,0.88335997455695425
pmks_positive_0036,-2.7113872930916507,5.3413944704738405,0.70776583950960514
pmks_positive_0037,-2.8005007265298336,5.3517315250018918,0.53280313964909087
pmks_positive_0038,-2.8897621802556328,5.3591592350983941,0.35867932486887
pmks_positive_0039,-2.979123291408198,5.3636933301299186,0.18560455593311342
pmks_positive_0040,-3.0685359885782293,5.3653530609042281,0.013791148336072201
pmks_positive_0041,-3.1579525507705473,5.364161230617527,-0.15654703127440417
pmks_positive_0042,-3.2473256667964394,5.360144215358023,-0.32519521442514332
pmks_positive_0043,-3.3366084949155477,5.3533319734219296,-0.49193842355407247
pmks_positive_0044,-3.4257547225348746,5.3437580427426266,-0.65656220512847674
