matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0048,matlab_sweep_00,48,2.4085543677521706,1,1.1839150342293301,eligible,pmks_positive_0048,matched,
matlab_0049,matlab_sweep_00,49,2.4260076602721137,1,1.1799446871497565,eligible,pmks_positive_0049,matched,
matlab_0050,matlab_sweep_00,50,2.4434609527920563,1,1.1759317084426935,eligible,pmks_positive_0050,matched,
matlab_0051,matlab_sweep_00,51,2.4609142453119999,1,1.1718779378119455,eligible,pmks_positive_0051,matched,
matlab_0052,matlab_sweep_00,52,2.4783675378319425,1,1.1677852078502113,eligible,pmks_positive_0052,matched,
matlab_0053,matlab_sweep_00,53,2.4958208303518861,1,1.1636553427679315,eligible,pmks_positive_0053,matched,
matlab_0054,matlab_sweep_00,54,2.5132741228718292,1,1.1594901571822449,eligible,pmks_positive_0054,matched,
matlab_0055,matlab_sweep_00,55,2.5307274153917723,1,1.155291454966219,eligible,pmks_positive_0055,matched,
matlab_0056,matlab_sweep_00,56,2.5481807079117154,1,1.1510610281583662,eligible,pmks_positive_0056,matched,
matlab_0057,matlab_sweep_00,57,2.5656340004316585,1,1.1468006559322712,eligible,pmks_positive_0057,matched,
matlab_0058,matlab_sweep_00,58,2.5830872929516016,1,1.1425121036259878,eligible,pmks_positive_0058,matched,
matlab_0059,matlab_sweep_00,59,2.6005405854715451,1,1.1381971218307152,eligible,pmks_positive_0059,matched,
matlab_0060,matlab_sweep_00,60,2.6179938779914878,1,1.1338574455381101,eligible,pmks_positive_0060,matched,
matlab_0061,matlab_sweep_00,61,2.6354471705114308,1,1.1294947933454738,eligible,pmks_positive_0061,matched,
matlab_0062,matlab_sweep_00,62,2.6529004630313739,1,1.1251108667179035,eligible,pmks_positive_0062,matched,
matlab_0063,matlab_sweep_00,63,2.670353755551317,1,1.1207073493064033,eligible,pmks_positive_0063,matched,
matlab_0064,matlab_sweep_00,64,2.6878070480712601,1,1.1162859063208299,eligible,pmks_positive_0064,matched,
matlab_0065,matlab_sweep_00,65,2.7052603405912032,1,1.1118481839564658,eligible,pmks_positive_0065,matched,
matlab_0066,matlab_sweep_00,66,2.7227136331111463,1,1.1073958088729148,eligible,pmks_positive_0066,matched,
matlab_0067,matlab_sweep_00,67,2.7401669256310894,1,1.1029303877239338,eligible,pmks_positive_0067,matched,
matlab_0068,matlab_sweep_00,68,2.7576202181510325,1,1.0984535067367756,eligible,pmks_positive_0068,matched,
matlab_0069,matlab_sweep_00,69,2.7750735106709756,1,1.0939667313395041,eligible,pmks_positive_0069,matched,
matlab_0070,matlab_sweep_00,70,2.7925268031909187,1,1.0894716058347556,eligible,pmks_positive_0070,matched,
matlab_0071,matlab_sweep_00,71,2.8099800957108618,1,1.0849696531183199,eligible,pmks_positive_0071,matched,
matlab_0072,matlab_sweep_00,72,2.8274333882308049,1,1.0804623744409156,eligible,pmks_positive_0072,matched,
matlab_0073,matlab_sweep_00,73,2.844886680750748,1,1.0759512492114878,eligible,pmks_positive_0073,matched,
matlab_0074,matlab_sweep_00,74,2.8623399732706916,1,1.0714377348403394,eligible,pmks_positive_0074,matched,
matlab_0075,matlab_sweep_00,75,2.8797932657906342,1,1.0669232666203923,eligible,pmks_positive_0075,matched,
matlab_0076,matlab_sweep_00,76,2.8972465583105773,1,1.0624092576448609,eligible,pmks_positive_0076,matched,
matlab_0077,matlab_sweep_00,77,2.9146998508305204,1,1.0578970987596303,eligible,pmks_positive_0077,matched,
matlab_0078,matlab_sweep_00,78,2.9321531433504635,1,1.0533881585486031,eligible,pmks_positive_0078,matched,
matlab_0079,matlab_sweep_00,79,2.9496064358704066,1,1.0488837833503313,eligible,pmks_positive_0079,matched,
matlab_0080,matlab_sweep_00,80,2.9670597283903497,1,1.0443852973042058,eligible,pmks_positive_0080,matched,
matlab_0081,matlab_sweep_00,81,2.9845130209102928,1,1.0398940024245484,eligible,pmks_positive_0081,matched,
