Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:05:56.098,COM16, 2000-00-00 00:25:59.210, 0.035, -0.005, 1.012, 3.479, 3.052, 44.495, -1.791, -1.198, -11.854, -6.260, 25.033, -38.460, 31.38,,,,,,,,,,,,,,,,
 19:05:56.098,COM14, 2000-00-06 17:25:56.878, -0.074, -0.058, 1.081, 4.333, -0.305, 41.931, -0.786, 0.038, 18.655, -33.813, 24.200, -32.000, 31.49,,,,,,,,,,,,,,,,
 19:05:56.098,COM13, 2000-00-00 00:27:17.275, -0.047, 0.047, 1.039, 1.526, -3.174, 82.092, 2.538, 6.130, 96.361, -29.287, 71.400, -197.780, 31.29,,,,,,,,,,,,,,,,
 19:05:56.113,COM16, 2000-00-00 00:25:59.220, 0.034, -0.005, 1.012, 3.479, 3.052, 44.495, -1.769, -1.165, -11.393, -5.867, 24.707, -38.507, 31.38,,,,,,,,,,,,,,,,
 19:05:56.113,COM16, 2000-00-00 00:25:59.230, 0.034, 0.058, 0.989, -6.714, -5.066, 41.931, -1.840, -1.214, -10.953, -5.607, 25.027, -38.573, 31.37,,,,,,,,,,,,,,,,
 19:05:56.113,COM16, 2000-00-00 00:25:59.240, 0.117, 0.058, 0.989, -6.714, -5.066, 41.931, -1.912, -1.258, -10.514, -5.420, 25.240, -38.580, 31.37,,,,,,,,,,,,,,,,
 19:05:56.113,COM14, 2000-00-06 17:25:56.898, -0.026, -0.064, 0.955, 5.310, -0.061, 45.105, -0.720, 0.016, 19.556, -33.660, 25.300, -32.160, 31.52,,,,,,,,,,,,,,,,
 19:05:56.128,COM13, 2000-00-00 00:27:17.295, -0.049, 0.154, 1.008, -4.883, -4.944, 85.693, 2.637, 6.021, 98.042, -29.647, 67.053, -200.560, 31.27,,,,,,,,,,,,,,,,
 19:05:56.128,COM13, 2000-00-00 00:27:17.315, -0.030, 0.106, 0.883, -8.667, -0.916, 90.027, 2.653, 5.927, 99.800, -30.607, 62.960, -203.307, 31.27,,,,,,,,,,,,,,,,
 19:05:56.128,COM16, 2000-00-00 00:25:59.250, 0.117, -0.227, 0.976, -0.122, -4.456, 43.396, -1.917, -1.296, -10.063, -5.280, 25.447, -38.600, 31.32,,,,,,,,,,,,,,,,
 19:05:56.144,COM16, 2000-00-00 00:25:59.260, 0.086, -0.227, 0.976, -0.122, -4.456, 43.396, -1.934, -1.340, -9.608, -5.180, 25.647, -38.693, 31.32,,,,,,,,,,,,,,,,
 19:05:56.144,COM16, 2000-00-00 00:25:59.270, 0.086, -0.180, 1.008, 7.263, 4.089, 47.302, -1.879, -1.296, -9.113, -5.133, 25.733, -38.800, 31.34,,,,,,,,,,,,,,,,
 19:05:56.144,COM16, 2000-00-00 00:25:59.280, 0.074, -0.180, 1.008, 7.263, 4.089, 47.302, -1.829, -1.252, -8.624, -5.120, 25.787, -38.867, 31.34,,,,,,,,,,,,,,,,
 19:05:56.144,COM14, 2000-00-06 17:25:56.918, 0.034, -0.071, 0.926, 2.869, 0.427, 48.401, -0.698, 0.022, 20.522, -33.820, 26.007, -32.247, 31.52,,,,,,,,,,,,,,,,
 19:05:56.160,COM16, 2000-00-00 00:25:59.290, 0.074, -0.006, 1.001, 0.061, 0.244, 49.316, -1.851, -1.252, -8.119, -5.160, 25.833, -38.927, 31.34,,,,,,,,,,,,,,,,
 19:05:56.160,COM16, 2000-00-00 00:25:59.300, 0.033, -0.006, 1.001, 0.061, 0.244, 49.316, -1.868, -1.247, -7.614, -5.213, 25.880, -38.927, 31.34,,,,,,,,,,,,,,,,
 19:05:56.160,COM14, 2000-00-06 17:25:56.938, 0.057, -0.007, 0.893, 0.732, -2.563, 49.133, -0.714, -0.027, 21.506, -34.100, 27.233, -32.160, 31.49,,,,,,,,,,,,,,,,
 19:05:56.161,COM13, 2000-00-00 00:27:17.335, -0.054, -0.042, 0.942, -10.681, 5.493, 89.294, 2.620, 5.938, 101.602, -31.573, 58.507, -206.093, 31.27,,,,,,,,,,,,,,,,
 19:05:56.161,COM13, 2000-00-00 00:27:17.355, -0.076, -0.005, 0.981, -6.592, 8.911, 88.806, 2.598, 6.042, 103.387, -32.440, 53.540, -208.793, 31.30,,,,,,,,,,,,,,,,
 19:05:56.191,COM13, 2000-00-00 00:27:17.375, -0.113, -0.012, 1.066, -5.310, 6.287, 87.830, 2.626, 6.158, 105.161, -33.380, 48.367, -211.313, 31.30,,,,,,,,,,,,,,,,
 19:05:56.191,COM14, 2000-00-06 17:25:56.958, 0.081, -0.030, 1.010, -0.427, -3.601, 48.096, -0.753, -0.110, 22.467, -33.907, 28.020, -32.127, 31.49,,,,,,,,,,,,,,,,
 19:05:56.191,COM16, 2000-00-00 00:25:59.310, 0.033, 0.091, 1.019, -16.357, -10.681, 47.913, -2.049, -1.351, -7.125, -5.267, 25.887, -38.853, 31.30,,,,,,,,,,,,,,,,
 19:05:56.191,COM16, 2000-00-00 00:25:59.320, 0.042, 0.091, 1.019, -16.357, -10.681, 47.913, -2.219, -1.450, -6.641, -5.327, 25.880, -38.847, 31.30,,,,,,,,,,,,,,,,
 19:05:56.206,COM13, 2000-00-00 00:27:17.395, -0.081, -0.022, 1.055, -5.676, 0.244, 84.106, 2.659, 6.185, 106.886, -33.693, 42.573, -213.240, 31.28,,,,,,,,,,,,,,,,
