Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:06:02.419,COM16, 2000-00-00 00:26:05.540, -0.115, 0.082, 0.998, -3.418, -4.639, -26.611, 1.642, -1.027, -1.346, -4.793, 35.933, -30.440, 31.37,,,,,,,,,,,,,,,,
 19:06:02.419,COM14, 2000-00-06 17:26:03.218, -0.037, 0.083, 1.169, -0.854, 1.404, -31.189, 0.802, -0.956, 33.618, -16.473, 17.073, -33.807, 31.49,,,,,,,,,,,,,,,,
 19:06:02.422,COM16, 2000-00-00 00:26:05.550, -0.132, 0.082, 0.998, -3.418, -4.639, -26.611, 1.648, -1.038, -1.659, -4.773, 35.460, -30.507, 31.37,,,,,,,,,,,,,,,,
 19:06:02.424,COM13, 2000-00-00 00:27:23.595, 0.032, -0.021, 1.043, -6.287, -2.258, 84.778, 2.181, 4.290, -77.640, -12.533, 49.860, -62.133, 31.26,,,,,,,,,,,,,,,,
 19:06:02.427,COM16, 2000-00-00 00:26:05.560, -0.132, 0.147, 1.024, -1.770, -0.610, -27.954, 1.659, -1.033, -1.983, -4.720, 35.700, -30.687, 31.30,,,,,,,,,,,,,,,,
 19:06:02.433,COM16, 2000-00-00 00:26:05.570, -0.127, 0.147, 1.024, -1.770, -0.610, -27.954, 1.686, -1.005, -2.307, -4.620, 35.893, -30.733, 31.30,,,,,,,,,,,,,,,,
 19:06:02.435,COM16, 2000-00-00 00:26:05.580, -0.127, 0.208, 1.001, 4.272, 5.066, -30.090, 1.741, -0.945, -2.642, -4.853, 36.067, -30.747, 31.34,,,,,,,,,,,,,,,,
 19:06:02.451,COM16, 2000-00-00 00:26:05.590, -0.151, 0.208, 1.001, 4.272, 5.066, -30.090, 1.824, -0.851, -2.983, -4.707, 35.587, -30.840, 31.34,,,,,,,,,,,,,,,,
 19:06:02.452,COM14, 2000-00-06 17:26:03.238, -0.023, 0.028, 0.979, 1.892, 0.610, -31.799, 0.857, -0.851, 32.986, -17.247, 17.153, -33.860, 31.49,,,,,,,,,,,,,,,,
 19:06:02.456,COM16, 2000-00-00 00:26:05.600, -0.151, 0.148, 0.935, 3.235, 0.061, -31.128, 1.906, -0.786, -3.340, -5.207, 35.227, -30.840, 31.36,,,,,,,,,,,,,,,,
 19:06:02.456,COM13, 2000-00-00 00:27:23.615, -0.018, 0.045, 1.000, -5.005, -5.737, 86.426, 2.142, 4.213, -75.938, -12.467, 50.993, -62.487, 31.27,,,,,,,,,,,,,,,,
 19:06:02.458,COM14, 2000-00-06 17:26:03.258, -0.160, 0.059, 0.903, -0.061, 1.648, -33.813, 0.917, -0.747, 32.327, -17.887, 17.240, -33.840, 31.50,,,,,,,,,,,,,,,,
 19:06:02.461,COM16, 2000-00-00 00:26:05.610, -0.083, 0.148, 0.935, 3.235, 0.061, -31.128, 1.989, -0.742, -3.697, -5.607, 34.987, -30.760, 31.36,,,,,,,,,,,,,,,,
 19:06:02.462,COM13, 2000-00-00 00:27:23.635, -0.026, 0.039, 0.888, -6.409, 0.000, 88.684, 2.120, 4.109, -74.196, -12.427, 51.453, -62.720, 31.28,,,,,,,,,,,,,,,,
 19:06:02.465,COM16, 2000-00-00 00:26:05.620, -0.083, 0.133, 1.021, 1.221, -1.526, -31.677, 2.054, -0.709, -4.065, -5.920, 34.780, -30.767, 31.34,,,,,,,,,,,,,,,,
 19:06:02.470,COM16, 2000-00-00 00:26:05.630, -0.055, 0.133, 1.021, 1.221, -1.526, -31.677, 2.109, -0.681, -4.433, -6.173, 34.607, -30.893, 31.34,,,,,,,,,,,,,,,,
 19:06:02.483,COM16, 2000-00-00 00:26:05.640, -0.055, 0.165, 1.045, 3.662, 2.075, -33.752, 2.181, -0.632, -4.812, -6.373, 34.520, -31.013, 31.33,,,,,,,,,,,,,,,,
 19:06:02.485,COM16, 2000-00-00 00:26:05.650, -0.139, 0.165, 1.045, 3.662, 2.075, -33.752, 2.258, -0.571, -5.197, -6.500, 34.507, -31.027, 31.33,,,,,,,,,,,,,,,,
 19:06:02.490,COM14, 2000-00-06 17:26:03.278, -0.102, 0.019, 0.901, -3.723, -0.122, -34.607, 0.917, -0.659, 31.646, -18.253, 17.453, -33.907, 31.50,,,,,,,,,,,,,,,,
 19:06:02.491,COM16, 2000-00-00 00:26:05.660, -0.139, 0.084, 0.928, -0.427, 0.671, -34.973, 2.318, -0.511, -5.587, -6.580, 34.493, -31.060, 31.34,,,,,,,,,,,,,,,,
 19:06:02.493,COM13, 2000-00-00 00:27:23.655, 0.008, -0.035, 0.962, -6.104, 6.775, 87.219, 2.082, 4.125, -72.433, -12.513, 52.593, -62.873, 31.26,,,,,,,,,,,,,,,,
 19:06:02.495,COM14, 2000-00-06 17:26:03.298, -0.084, 0.021, 1.092, -3.479, -1.709, -34.058, 0.879, -0.593, 30.954, -18.420, 17.287, -33.980, 31.52,,,,,,,,,,,,,,,,
 19:06:02.496,COM16, 2000-00-00 00:26:05.670, -0.021, 0.084, 0.928, -0.427, 0.671, -34.973, 2.351, -0.461, -5.982, -6.620, 34.460, -31.147, 31.34,,,,,,,,,,,,,,,,
 19:06:02.499,COM13, 2000-00-00 00:27:23.675, -0.066, -0.032, 1.053, -4.883, 4.700, 84.961, 2.049, 4.230, -70.697, -12.727, 53.127, -63.167, 31.26,,,,,,,,,,,,,,,,
 19:06:02.502,COM16, 2000-00-00 00:26:05.680, -0.021, -0.010, 1.016, -5.493, -2.930, -34.363, 2.362, -0.428, -6.372, -6.620, 34.453, -31.280, 31.35,,,,,,,,,,,,,,,,
 19:06:02.523,COM14, 2000-00-06 17:26:03.318, -0.234, 0.035, 1.000, -2.258, 0.244, -34.607, 0.851, -0.527, 30.267, -18.407, 16.447, -34.047, 31.50,,,,,,,,,,,,,,,,
 19:06:02.536,COM16, 2000-00-00 00:26:05.690, -0.143, -0.010, 1.016, -5.493, -2.930, -34.363, 2.340, -0.417, -6.757, -6.613, 34.500, -31.447, 31.35,,,,,,,,,,,,,,,,
 19:06:02.542,COM16, 2000-00-00 00:26:05.700, -0.143, 0.185, 1.042, 3.662, 3.174, -34.485, 2.357, -0.374, -7.141, -6.633, 34.560, -31.567, 31.35,,,,,,,,,,,,,,,,
 19:06:02.548,COM16, 2000-00-00 00:26:05.710, -0.272, 0.185, 1.042, 3.662, 3.174, -34.485, 2.428, -0.297, -7.520, -6.633, 34.613, -31.700, 31.35,,,,,,,,,,,,,,,,
 19:06:02.550,COM16, 2000-00-00 00:26:05.720, -0.272, 0.229, 0.938, -2.930, -0.549, -37.598, 2.461, -0.236, -7.916, -6.580, 34.693, -31.900, 31.32,,,,,,,,,,,,,,,,
 19:06:02.554,COM14, 2000-00-06 17:26:03.338, -0.117, 0.056, 0.922, -2.991, -0.916, -37.292, 0.829, -0.450, 29.548, -18.320, 15.880, -34.147, 31.48,,,,,,,,,,,,,,,,
 19:06:02.554,COM13, 2000-00-00 00:27:23.695, -0.071, 0.057, 0.979, -3.845, 2.380, 86.670, 2.038, 4.290, -68.989, -13.527, 53.533, -63.560, 31.28,,,,,,,,,,,,,,,,
 19:06:02.556,COM16, 2000-00-00 00:26:05.730, -0.112, 0.229, 0.938, -2.930, -0.549, -37.598, 2.472, -0.192, -8.328, -6.520, 34.460, -32.087, 31.32,,,,,,,,,,,,,,,,
 19:06:02.559,COM14, 2000-00-06 17:26:03.358, -0.158, 0.007, 1.120, -2.747, 0.122, -38.269, 0.797, -0.363, 28.790, -18.827, 15.560, -34.120, 31.47,,,,,,,,,,,,,,,,
 19:06:02.560,COM13, 2000-00-00 00:27:23.715, -0.021, -0.011, 0.991, -7.263, 4.761, 84.656, 2.016, 4.340, -67.275, -13.167, 54.400, -63.827, 31.26,,,,,,,,,,,,,,,,
 19:06:02.566,COM13, 2000-00-00 00:27:23.735, -0.064, -0.005, 1.074, -5.127, 1.465, 84.961, 1.978, 4.389, -65.577, -13.627, 54.987, -64.147, 31.29,,,,,,,,,,,,,,,,
 19:06:02.589,COM14, 2000-00-06 17:26:03.378, -0.141, 0.028, 1.087, -0.305, 2.197, -39.429, 0.791, -0.242, 28.015, -19.620, 15.453, -34.133, 31.51,,,,,,,,,,,,,,,,
 19:06:02.595,COM14, 2000-00-06 17:26:03.398, -0.068, 0.042, 0.995, 0.854, 1.404, -40.466, 0.813, -0.110, 27.213, -20.073, 15.460, -34.140, 31.48,,,,,,,,,,,,,,,,
 19:06:02.599,COM13, 2000-00-00 00:27:23.755, -0.030, 0.000, 1.040, -5.127, -4.883, 84.473, 1.961, 4.340, -63.885, -13.407, 55.700, -64.353, 31.26,,,,,,,,,,,,,,,,
 19:06:02.605,COM13, 2000-00-00 00:27:23.775, 0.028, 0.057, 0.938, -5.859, -3.357, 83.557, 1.934, 4.246, -62.205, -13.193, 56.427, -64.673, 31.26,,,,,,,,,,,,,,,,
 19:06:02.608,COM16, 2000-00-00 00:26:05.740, -0.112, 0.076, 0.993, -1.831, -0.977, -38.391, 2.483, -0.143, -8.745, -6.440, 34.247, -32.253, 31.36,,,,,,,,,,,,,,,,
 19:06:02.611,COM16, 2000-00-00 00:26:05.750, -0.173, 0.076, 0.993, -1.831, -0.977, -38.391, 2.499, -0.099, -9.163, -6.353, 33.807, -32.407, 31.36,,,,,,,,,,,,,,,,
 19:06:02.617,COM16, 2000-00-00 00:26:05.760, -0.173, 0.153, 1.012, 7.263, 3.784, -39.246, 2.565, -0.033, -9.586, -6.273, 33.520, -32.607, 31.34,,,,,,,,,,,,,,,,
 19:06:02.622,COM16, 2000-00-00 00:26:05.770, -0.147, 0.153, 1.012, 7.263, 3.784, -39.246, 2.670, 0.060, -10.009, -6.207, 33.353, -32.720, 31.34,,,,,,,,,,,,,,,,
 19:06:02.627,COM13, 2000-00-00 00:27:23.795, -0.028, 0.000, 0.931, -5.798, 1.465, 86.243, 1.906, 4.213, -60.502, -13.000, 56.853, -64.907, 31.26,,,,,,,,,,,,,,,,
 19:06:02.628,COM16, 2000-00-00 00:26:05.780, -0.147, 0.147, 0.978, 3.479, 0.732, -40.283, 2.752, 0.143, -10.432, -6.133, 33.247, -32.700, 31.35,,,,,,,,,,,,,,,,
 19:06:02.631,COM16, 2000-00-00 00:26:05.790, -0.097, 0.147, 0.978, 3.479, 0.732, -40.283, 2.823, 0.214, -10.860, -6.073, 33.193, -32.700, 31.35,,,,,,,,,,,,,,,,
 19:06:02.643,COM16, 2000-00-00 00:26:05.800, -0.097, 0.184, 0.996, -0.061, -0.427, -42.053, 2.867, 0.275, -11.294, -6.067, 33.167, -32.840, 31.35,,,,,,,,,,,,,,,,
 19:06:02.647,COM16, 2000-00-00 00:26:05.810, -0.101, 0.184, 0.996, -0.061, -0.427, -42.053, 2.900, 0.330, -11.733, -6.040, 33.153, -33.140, 31.35,,,,,,,,,,,,,,,,
 19:06:02.649,COM14, 2000-00-06 17:26:03.418, -0.097, 0.045, 0.861, -1.221, 0.732, -42.053, 0.829, 0.005, 26.389, -20.293, 15.580, -34.167, 31.49,,,,,,,,,,,,,,,,
 19:06:02.650,COM16, 2000-00-00 00:26:05.820, -0.101, 0.116, 1.001, 1.892, 1.709, -44.617, 2.944, 0.396, -12.184, -6.613, 33.167, -33.353, 31.35,,,,,,,,,,,,,,,,
 19:06:02.654,COM14, 2000-00-06 17:26:03.438, -0.183, 0.006, 0.984, -3.601, -0.305, -44.434, 0.797, 0.104, 25.521, -20.293, 15.720, -34.233, 31.48,,,,,,,,,,,,,,,,
 19:06:02.656,COM16, 2000-00-00 00:26:05.830, -0.109, 0.116, 1.001, 1.892, 1.709, -44.617, 2.994, 0.472, -12.651, -7.047, 32.887, -33.407, 31.35,,,,,,,,,,,,,,,,
 19:06:02.657,COM13, 2000-00-00 00:27:23.815, -0.054, 0.013, 0.974, -6.714, 6.104, 87.891, 1.873, 4.274, -58.760, -12.787, 57.207, -65.180, 31.27,,,,,,,,,,,,,,,,
 19:06:02.660,COM14, 2000-00-06 17:26:03.458, -0.152, -0.023, 1.000, -4.456, -0.610, -44.067, 0.725, 0.187, 24.637, -20.220, 15.893, -34.193, 31.52,,,,,,,,,,,,,,,,
 19:06:02.661,COM16, 2000-00-00 00:26:05.840, -0.109, -0.038, 0.957, -0.916, 1.770, -44.250, 3.021, 0.544, -13.112, -7.360, 32.387, -33.487, 31.33,,,,,,,,,,,,,,,,
 19:06:02.665,COM13, 2000-00-00 00:27:23.835, -0.036, -0.074, 1.026, -5.249, 5.615, 83.618, 1.840, 4.373, -57.047, -12.840, 57.933, -65.367, 31.27,,,,,,,,,,,,,,,,
 19:06:02.687,COM14, 2000-00-06 17:26:03.478, -0.165, -0.028, 1.086, -1.953, -0.305, -43.213, 0.665, 0.269, 23.763, -20.087, 14.947, -34.340, 31.49,,,,,,,,,,,,,,,,
 19:06:02.694,COM14, 2000-00-06 17:26:03.498, -0.142, -0.030, 1.032, -1.892, 0.671, -43.457, 0.621, 0.368, 22.896, -20.547, 14.400, -34.380, 31.50,,,,,,,,,,,,,,,,
 19:06:02.695,COM16, 2000-00-00 00:26:05.850, -0.128, -0.038, 0.957, -0.916, 1.770, -44.250, 3.038, 0.621, -13.579, -7.613, 32.020, -33.567, 31.33,,,,,,,,,,,,,,,,
 19:06:02.698,COM13, 2000-00-00 00:27:23.855, -0.042, -0.016, 1.049, -3.784, 1.038, 81.726, 1.835, 4.427, -55.393, -12.527, 58.653, -65.393, 31.29,,,,,,,,,,,,,,,,
 19:06:02.701,COM16, 2000-00-00 00:26:05.860, -0.128, 0.067, 0.994, 0.000, 0.061, -43.274, 3.049, 0.687, -14.041, -7.807, 31.720, -33.607, 31.32,,,,,,,,,,,,,,,,
 19:06:02.704,COM13, 2000-00-00 00:27:23.875, -0.053, -0.024, 0.987, -3.174, 0.122, 79.468, 1.840, 4.422, -53.778, -12.480, 59.693, -65.707, 31.23,,,,,,,,,,,,,,,,
 19:06:02.706,COM16, 2000-00-00 00:26:05.870, -0.161, 0.067, 0.994, 0.000, 0.061, -43.274, 3.060, 0.742, -14.496, -7.953, 31.533, -33.733, 31.32,,,,,,,,,,,,,,,,
 19:06:02.711,COM16, 2000-00-00 00:26:05.880, -0.161, 0.040, 0.998, -1.892, -3.296, -43.640, 3.065, 0.786, -14.958, -8.080, 31.460, -33.900, 31.36,,,,,,,,,,,,,,,,
 19:06:02.714,COM16, 2000-00-00 00:26:05.890, -0.082, 0.040, 0.998, -1.892, -3.296, -43.640, 3.054, 0.807, -15.419, -8.167, 31.393, -34.007, 31.36,,,,,,,,,,,,,,,,
 19:06:02.731,COM14, 2000-00-06 17:26:03.518, -0.112, -0.003, 0.971, -0.610, -0.366, -43.945, 0.588, 0.467, 22.022, -21.347, 14.107, -34.287, 31.49,,,,,,,,,,,,,,,,
 19:06:02.731,COM13, 2000-00-00 00:27:23.895, 0.006, 0.023, 1.003, -6.165, 0.244, 76.721, 1.818, 4.417, -52.218, -12.100, 60.027, -66.007, 31.29,,,,,,,,,,,,,,,,
 19:06:02.737,COM14, 2000-00-06 17:26:03.538, -0.142, 0.043, 1.004, -1.892, 1.526, -44.800, 0.555, 0.577, 21.138, -21.813, 14.047, -34.273, 31.49,,,,,,,,,,,,,,,,
 19:06:02.738,COM13, 2000-00-00 00:27:23.915, -0.039, 0.005, 0.996, -3.418, -0.427, 79.590, 1.807, 4.400, -50.652, -12.293, 60.487, -66.207, 31.26,,,,,,,,,,,,,,,,
 19:06:02.763,COM16, 2000-00-00 00:26:05.900, -0.082, 0.046, 1.018, 1.465, 0.732, -43.945, 3.065, 0.857, -15.881, -8.187, 31.353, -34.207, 31.32,,,,,,,,,,,,,,,,
 19:06:02.768,COM16, 2000-00-00 00:26:05.910, -0.130, 0.046, 1.018, 1.465, 0.732, -43.945, 3.082, 0.917, -16.337, -8.193, 31.387, -34.387, 31.32,,,,,,,,,,,,,,,,
 19:06:02.768,COM13, 2000-00-00 00:27:23.935, -0.032, 0.031, 0.970, -4.456, 1.465, 80.444, 1.807, 4.400, -49.054, -11.760, 61.253, -66.467, 31.26,,,,,,,,,,,,,,,,
 19:06:02.770,COM16, 2000-00-00 00:26:05.920, -0.130, 0.188, 1.019, 5.005, 3.662, -44.678, 3.120, 1.000, -16.798, -8.220, 31.447, -34.580, 31.37,,,,,,,,,,,,,,,,
 19:06:02.774,COM13, 2000-00-00 00:27:23.955, -0.031, 0.026, 0.970, -5.371, 3.479, 80.811, 1.796, 4.433, -47.439, -12.013, 61.987, -66.653, 31.24,,,,,,,,,,,,,,,,
 19:06:02.776,COM16, 2000-00-00 00:26:05.930, -0.189, 0.188, 1.019, 5.005, 3.662, -44.678, 3.181, 1.088, -17.254, -8.240, 31.173, -34.813, 31.37,,,,,,,,,,,,,,,,
 19:06:02.782,COM16, 2000-00-00 00:26:05.940, -0.189, 0.164, 0.981, -0.793, -2.197, -46.814, 3.208, 1.154, -17.721, -8.233, 30.713, -35.027, 31.30,,,,,,,,,,,,,,,,
 19:06:02.792,COM14, 2000-00-06 17:26:03.558, -0.125, 0.013, 1.030, -0.977, -0.610, -46.814, 0.516, 0.681, 20.220, -22.033, 14.133, -34.273, 31.48,,,,,,,,,,,,,,,,
 19:06:02.797,COM14, 2000-00-06 17:26:03.578, -0.149, 0.012, 0.909, -2.686, -0.305, -48.096, 0.467, 0.758, 19.270, -22.100, 14.227, -34.353, 31.48,,,,,,,,,,,,,,,,
 19:06:02.807,COM14, 2000-00-06 17:26:03.598, -0.202, 0.021, 1.048, -3.601, 0.671, -49.255, 0.396, 0.857, 18.298, -22.027, 13.487, -34.367, 31.47,,,,,,,,,,,,,,,,
 19:06:02.809,COM13, 2000-00-00 00:27:23.975, -0.063, 0.004, 1.039, -5.432, 3.296, 81.421, 1.780, 4.488, -45.818, -11.673, 63.033, -66.860, 31.26,,,,,,,,,,,,,,,,
 19:06:02.812,COM14, 2000-00-06 17:26:03.618, -0.127, 0.031, 1.059, -1.770, 0.305, -51.453, 0.330, 0.956, 17.287, -21.900, 12.793, -34.253, 31.50,,,,,,,,,,,,,,,,
 19:06:02.821,COM13, 2000-00-00 00:27:23.995, -0.042, 0.044, 1.012, -5.127, 0.244, 83.557, 1.769, 4.515, -44.165, -11.893, 63.607, -67.060, 31.27,,,,,,,,,,,,,,,,
 19:06:02.827,COM16, 2000-00-00 00:26:05.950, -0.109, 0.164, 0.981, -0.793, -2.197, -46.814, 3.214, 1.192, -18.204, -8.193, 30.387, -35.213, 31.30,,,,,,,,,,,,,,,,
 19:06:02.830,COM16, 2000-00-00 00:26:05.960, -0.109, 0.114, 0.961, -2.014, -0.244, -48.279, 3.208, 1.241, -18.688, -8.153, 30.153, -35.367, 31.37,,,,,,,,,,,,,,,,
 19:06:02.836,COM14, 2000-00-06 17:26:03.638, -0.166, -0.034, 0.990, -0.977, 0.549, -51.819, 0.291, 1.055, 16.254, -21.820, 12.480, -34.287, 31.49,,,,,,,,,,,,,,,,
 19:06:02.836,COM16, 2000-00-00 00:26:05.970, -0.169, 0.114, 0.961, -2.014, -0.244, -48.279, 3.197, 1.296, -19.177, -8.093, 30.007, -35.480, 31.37,,,,,,,,,,,,,,,,
 19:06:02.842,COM16, 2000-00-00 00:26:05.980, -0.169, 0.179, 1.021, 10.193, 6.836, -49.072, 3.252, 1.390, -19.666, -7.993, 29.953, -35.633, 31.36,,,,,,,,,,,,,,,,
 19:06:02.844,COM16, 2000-00-00 00:26:05.990, -0.225, 0.179, 1.021, 10.193, 6.836, -49.072, 3.362, 1.522, -20.149, -7.907, 29.953, -35.820, 31.36,,,,,,,,,,,,,,,,
 19:06:02.849,COM16, 2000-00-00 00:26:06.000, -0.225, 0.185, 0.918, -6.287, -5.188, -51.697, 3.395, 1.593, -20.649, -7.867, 29.333, -35.973, 31.33,,,,,,,,,,,,,,,,
 19:06:02.851,COM13, 2000-00-00 00:27:24.015, -0.017, -0.036, 1.024, -6.409, -1.404, 80.933, 1.747, 4.493, -42.523, -11.687, 64.527, -67.253, 31.32,,,,,,,,,,,,,,,,
 19:06:02.857,COM13, 2000-00-00 00:27:24.035, -0.026, 0.061, 0.959, -5.249, -1.648, 83.496, 1.725, 4.455, -40.875, -11.940, 64.927, -67.487, 31.34,,,,,,,,,,,,,,,,
 19:06:02.867,COM14, 2000-00-06 17:26:03.658, -0.138, 0.052, 1.006, -1.282, 3.174, -52.795, 0.253, 1.181, 15.205, -21.933, 12.453, -34.233, 31.51,,,,,,,,,,,,,,,,
 19:06:02.873,COM14, 2000-00-06 17:26:03.678, -0.151, 0.021, 0.967, -1.282, -0.488, -54.321, 0.209, 1.302, 14.134, -22.593, 11.947, -34.227, 31.49,,,,,,,,,,,,,,,,
 19:06:02.886,COM13, 2000-00-00 00:27:24.055, -0.050, -0.012, 0.975, -4.883, 1.709, 85.083, 1.719, 4.444, -39.188, -11.700, 65.913, -67.600, 31.33,,,,,,,,,,,,,,,,
 19:06:02.900,COM16, 2000-00-00 00:26:06.010, -0.037, 0.185, 0.918, -6.287, -5.188, -51.697, 3.345, 1.609, -21.165, -7.833, 28.860, -36.020, 31.33,,,,,,,,,,,,,,,,
 19:06:02.905,COM16, 2000-00-00 00:26:06.020, -0.037, -0.006, 1.060, 2.319, 0.671, -51.697, 3.334, 1.653, -21.682, -7.767, 28.507, -36.160, 31.32,,,,,,,,,,,,,,,,
 19:06:02.906,COM14, 2000-00-06 17:26:03.698, -0.081, -0.026, 0.947, -2.930, 0.000, -54.932, 0.154, 1.384, 13.041, -23.207, 11.200, -34.167, 31.50,,,,,,,,,,,,,,,,
 19:06:02.909,COM16, 2000-00-00 00:26:06.030, -0.212, -0.006, 1.060, 2.319, 0.671, -51.697, 3.367, 1.725, -22.192, -8.340, 28.253, -36.400, 31.32,,,,,,,,,,,,,,,,
 19:06:02.912,COM14, 2000-00-06 17:26:03.718, -0.224, 0.044, 1.079, -4.395, 1.099, -54.626, 0.055, 1.478, 11.942, -23.553, 10.733, -34.273, 31.50,,,,,,,,,,,,,,,,
 19:06:02.915,COM16, 2000-00-00 00:26:06.040, -0.212, 0.251, 0.998, 11.963, 8.850, -52.368, 3.439, 1.835, -22.709, -8.813, 28.100, -36.500, 31.34,,,,,,,,,,,,,,,,
 19:06:02.918,COM13, 2000-00-00 00:27:24.075, -0.018, 0.028, 0.968, -7.385, 4.089, 83.252, 1.692, 4.493, -37.507, -11.600, 66.473, -67.773, 31.27,,,,,,,,,,,,,,,,
 19:06:02.919,COM16, 2000-00-00 00:26:06.050, -0.116, 0.251, 0.998, 11.963, 8.850, -52.368, 3.565, 1.989, -23.225, -9.200, 28.060, -36.513, 31.34,,,,,,,,,,,,,,,,
 19:06:02.923,COM13, 2000-00-00 00:27:24.095, -0.092, -0.027, 1.045, -3.906, 3.418, 84.717, 1.681, 4.559, -35.826, -11.587, 66.947, -68.100, 31.27,,,,,,,,,,,,,,,,
 19:06:02.932,COM16, 2000-00-00 00:26:06.060, -0.116, 0.128, 0.944, -1.282, -3.479, -54.504, 3.625, 2.082, -23.752, -8.880, 28.107, -36.573, 31.33,,,,,,,,,,,,,,,,
 19:06:02.937,COM16, 2000-00-00 00:26:06.070, -0.116, 0.128, 0.944, -1.282, -3.479, -54.504, 3.620, 2.115, -24.291, -8.953, 27.513, -36.680, 31.33,,,,,,,,,,,,,,,,
 19:06:02.943,COM16, 2000-00-00 00:26:06.080, -0.116, 0.079, 1.000, -10.376, -6.165, -55.359, 3.565, 2.131, -24.835, -9.233, 27.353, -36.840, 31.37,,,,,,,,,,,,,,,,
 19:06:02.945,COM16, 2000-00-00 00:26:06.090, 0.010, 0.079, 1.000, -10.376, -6.165, -55.359, 3.466, 2.131, -25.384, -9.407, 27.200, -37.087, 31.37,,,,,,,,,,,,,,,,
 19:06:02.948,COM14, 2000-00-06 17:26:03.738, -0.072, 0.001, 1.038, -1.526, 0.793, -54.993, -0.016, 1.571, 10.844, -23.687, 10.547, -34.367, 31.49,,,,,,,,,,,,,,,,
 19:06:02.951,COM16, 2000-00-00 00:26:06.100, 0.010, 0.042, 1.032, 12.817, 10.132, -54.382, 3.483, 2.214, -25.917, -9.533, 26.820, -37.293, 31.38,,,,,,,,,,,,,,,,
 19:06:02.953,COM13, 2000-00-00 00:27:24.115, -0.001, 0.048, 1.035, -7.568, -1.099, 83.313, 1.664, 4.576, -34.146, -10.993, 67.840, -68.313, 31.32,,,,,,,,,,,,,,,,
 19:06:02.953,COM14, 2000-00-06 17:26:03.758, -0.148, 0.008, 1.021, -0.854, 0.916, -54.932, -0.060, 1.670, 9.739, -23.700, 10.593, -34.387, 31.47,,,,,,,,,,,,,,,,
 19:06:02.960,COM13, 2000-00-00 00:27:24.135, -0.042, -0.035, 0.960, -5.371, -0.977, 84.229, 1.631, 4.554, -32.465, -11.053, 68.547, -68.540, 31.33,,,,,,,,,,,,,,,,
 19:06:02.961,COM16, 2000-00-00 00:26:06.110, -0.158, 0.042, 1.032, 12.817, 10.132, -54.382, 3.609, 2.373, -26.444, -9.660, 26.567, -37.460, 31.38,,,,,,,,,,,,,,,,
 19:06:02.966,COM16, 2000-00-00 00:26:06.120, -0.158, 0.122, 0.975, 4.761, 4.883, -55.054, 3.686, 2.499, -26.966, -9.753, 26.413, -37.613, 31.34,,,,,,,,,,,,,,,,
 19:06:02.969,COM16, 2000-00-00 00:26:06.130, -0.005, 0.122, 0.975, 4.761, 4.883, -55.054, 3.730, 2.604, -27.499, -9.827, 26.347, -37.687, 31.34,,,,,,,,,,,,,,,,
 19:06:02.975,COM16, 2000-00-00 00:26:06.140, -0.005, 0.031, 0.978, -4.150, -7.324, -54.993, 3.719, 2.648, -28.026, -9.880, 26.340, -37.760, 31.36,,,,,,,,,,,,,,,,
 19:06:02.980,COM16, 2000-00-00 00:26:06.150, -0.106, 0.031, 0.978, -4.150, -7.324, -54.993, 3.669, 2.626, -28.559, -9.893, 26.360, -37.860, 31.36,,,,,,,,,,,,,,,,
 19:06:02.983,COM16, 2000-00-00 00:26:06.160, -0.106, 0.065, 1.012, 1.770, 2.014, -54.382, 3.642, 2.648, -29.075, -9.893, 26.393, -37.893, 31.34,,,,,,,,,,,,,,,,
 19:06:02.985,COM14, 2000-00-06 17:26:03.778, -0.088, -0.009, 0.871, -1.404, 1.160, -54.504, -0.110, 1.763, 8.646, -23.700, 10.720, -34.447, 31.51,,,,,,,,,,,,,,,,
 19:06:02.990,COM14, 2000-00-06 17:26:03.798, -0.062, 0.052, 1.128, -2.808, 0.244, -54.688, -0.176, 1.846, 7.548, -23.660, 10.580, -34.527, 31.46,,,,,,,,,,,,,,,,
 19:06:02.990,COM13, 2000-00-00 00:27:24.155, -0.025, -0.030, 0.983, -4.395, 0.854, 83.618, 1.631, 4.543, -30.789, -10.680, 68.700, -68.913, 31.34,,,,,,,,,,,,,,,,
 19:06:02.997,COM13, 2000-00-00 00:27:24.175, -0.045, 0.080, 0.967, -6.226, 3.479, 84.595, 1.620, 4.581, -29.103, -10.667, 69.280, -69.327, 31.27,,,,,,,,,,,,,,,,
 19:06:03.021,COM14, 2000-00-06 17:26:03.818, -0.148, 0.038, 0.898, -3.479, 0.671, -53.528, -0.258, 1.917, 6.465, -23.567, 9.780, -34.547, 31.51,,,,,,,,,,,,,,,,
