sample_id,position,velocity,acceleration
pmks_positive_0000,0,0,0
pmks_positive_0001,-0.06664344445834014,6.0508511566011034,2.2912574651018356
pmks_positive_0002,-0.13356599457460372,6.0752004875096617,2.1203304948989428
pmks_positive_0003,-0.20074682741028371,6.0976464017068812,1.9463683269738636
pmks_positive_0004,-0.26816475030406361,6.1181557366086823,1.7694330529023641
pmks_positive_0005,-0.3357982084358333,6.1366960399345061,1.5895912806065109
pmks_positive_0006,-0.40362529294082594,6.1532356192904665,1.406914084521534
pmks_positive_0007,-0.47162374956781039,6.1677435911494598,1.2214769461778203
pmks_positive_0008,-0.53977098787406663,6.1801899291233058,1.0333596853766998
pmks_positive_0009,-0.60804409094881673,6.1905455114243502,0.84264638217481935
pmks_positive_0010,-0.6764198256555598,6.1987821674163426,0.64942528992681847
pmks_positive_0011,-0.74487465338273284,6.2048727231574716,0.45378873966927391
pmks_positive_0012,-0.81338474129108884,6.2087910458416875,0.2558330361601695
pmks_positive_0013,-0.88192597404506468,6.210512087048051,0.055658345917687591
pmks_positive_0014,-0.95047396601456735,6.2100119247118899,-0.14663142237083981
pmks_positive_0015,-1.0190040739325574,6.2072678037356095,-0.35092874467391955
pmks_positive_0016,-1.0874914099930393,6.2022581751617203,-0.55712261525673279
pmks_positive_0017,-1.1559108553731299,6.1949627338351432,-0.76509868669968073
pmks_positive_0018,-1.2242370741621762,6.1853624544869845,-0.97473941583942381
pmks_positive_0019,-1.2924445276801595,6.1734396261769264,-1.1859242151626579
pmks_positive_0020,-1.3605074891669211,6.1591778850367209,-1.3985296091711636
pmks_positive_0021,-1.4284000588231709,6.1425622452626527,-1.6124293952275264
pmks_positive_0022,-1.4960961791837313,6.1235791283101628,-1.8274948083849627
pmks_positive_0023,-1.5635696508028445,6.1022163902495272,-2.0435946897007131
pmks_positive_0024,-1.6307941482311594,6.0784633472467933,-2.2605956575320976
pmks_positive_0025,-1.6977432362634459,6.0523107991399279,-2.4783622813155741
pmks_positive_0026,-1.7643903864359067,6.0237510510854166,-2.6967572573336396
pmks_positive_0027,-1.8307089937516892,5.9927779332561162,-2.9156415859810014
pmks_positive_0028,-1.8966723936129763,5.9593868185764665,-3.1348747500501419
pmks_positive_0029,-1.9622538789379671,5.9235746384864001,-3.3543148935676661
pmks_positive_0030,-2.0274267174409397,5.8853398967304322,-3.5738190007256487
pmks_positive_0031,-2.0921641690536399,5.8446826811732526,-3.7932430744671706
pmks_positive_0032,-2.1564395034662107,5.8016046736480789,-4.0124423143017305
pmks_positive_0033,-2.2202260177659783,5.7561091578484982,-4.2312712929440828
pmks_positive_0034,-2.2834970541526891,5.7082010252788962,-4.4495841313898312
pmks_positive_0035,-2.3462260177087293,5.6578867792828493,-4.6672346720611184
pmks_positive_0036,-2.4083863942033412,5.6051745371726387,-4.8840766496775725
pmks_positive_0037,-2.469951767909973,5.5500740304868348,-5.0999638595299013
pmks_positive_0038,-2.5308958394162824,5.4925966034062625,-5.3147503228563648
pmks_positive_0039,-2.5911924434066504,5.4327552093619049,-5.5282904490458211
pmks_positive_0040,-2.650815566397438,5.370564405871173,-5.7404391944147219
pmks_positive_0041,-2.7097393644056504,5.3060403476416198,-5.9510522173291012
pmks_positive_0042,-2.7679381805321048,5.2392007779836476,-6.1599860294666158
pmks_positive_0043,-2.8253865624407029,5.1700650185757766,-6.3670981430371683
pmks_positive_0044,-2.8820592797158318,5.0986539576280201,-6.5722472138040242
pmks_positive_0045,-2.9379313410805024,5.0249900364904594,-6.7752931797702916
pmks_positive_0046,-2.9929780114583275,4.9490972347555209,-6.9760973954180603
pmks_positive_0047,-3.0471748288629632,4.8710010539035427,-7.1745227614091593
pmks_positive_0048,-3.100497621099259,4.7907284995421673,-7.3704338496776485
pmks_positive_0049,-3.1529225222608206,4.7083080622906568,-7.5636970238642878
pmks_positive_0050,-3.2044259890093523,4.6237696973608013,-7.7541805550626677
pmks_positive_0051,-3.2549848166216746,4.5371448028861945,-7.9417547328650269
pmks_positive_0052,-3.304576154790877,4.4484661970517507,-8.1262919717132398
pmks_positive_0053,-3.353177523168644,4.357768094075217,-8.3076669125767069
pmks_positive_0054,-3.4007668266364073,4.2650860790919953,-8.4857565199944158
pmks_positive_0055,-3.4473223702934197,4.1704570819942628,-8.6604401745323401
pmks_positive_0056,-3.4928228741505967,4.073919350274565,-8.8315997607207706
pmks_positive_0057,-3.5372474875193047,3.9755124209234056,-8.9991197505478517
pmks_positive_0058,-3.5805758030850052,3.8752770914294232,-9.1628872825966727
pmks_positive_0059,-3.6227878706560519,3.7732553899296577,-9.3227922369229574
pmks_positive_0060,-3.6638642105785602,3.669490544556397,-9.4787273057790138
pmks_positive_0061,-3.7037858268087236,3.5640269520258077,-9.6305880602972778
pmks_positive_0062,-3.7425342196344138,3.4569101455122975,-9.7782730132532549
pmks_positive_0063,-3.7800913980384836,3.3481867618511787,-9.9216836780332063
pmks_positive_0064,-3.8164398916965352,3.2379045081108302,-10.060724623936423
pmks_positive_0065,-3.8515627626024225,3.1261121275741024,-10.195303527945578
pmks_positive_0066,-3.8854436163152029,3.0128593651671203,-10.325331223101104
pmks_positive_0067,-3.9180666128216268,2.8981969323723025,-10.45072174361751
pmks_positive_0068,-3.9494164770086639,2.7821764716607404,-10.571392366880399
pmks_positive_0069,-3.9794785087409563,2.664850520477605,-10.687263652462944
pmks_positive_0070,-4.0082385925384321,2.546272474812715,-10.798259478300213
pmks_positive_0071,-4.0356832068497175,2.4264965523869018,-10.904307074158151
pmks_positive_0072,-4.0617994329171667,2.3055777554832502,-11.005337052532083
pmks_positive_0073,-4.0865749632298778,2.1835718334508938,-11.101283437107158
pmks_positive_0074,-4.1099981095610962,2.060535244907518,-11.192083688909543
pmks_positive_0075,-4.1320578105869403,1.9365251196653794,-11.277678730273911
pmks_positive_0076,-4.1527436390834014,1.8115992204043048,-11.35801296674801
pmks_positive_0077,-4.1720458086990719,1.6858159041137475,-11.433034307050809
pmks_positive_0078,-4.1899551803010739,1.559234083324774,-11.502694181195269
pmks_positive_0079,-4.2064632678920377,1.4319131871516748,-11.566947556881416
pmks_positive_0080,-4.2215622440960958,1.3039131221617204,-11.625752954259434
pmks_positive_0081,-4.2352449452121155,1.1752942330905238,-11.679072459156261
pmks_positive_0082,-4.2475048758325533,1.0461172634194966,-11.726871734852875
pmks_positive_0083,-4.2583362130264932,0.9164433158309393,-11.769120032492316
pmks_positive_0084,-4.267733810085578,0.78633381255545842,-11.805790200191893
pmks_positive_0085,-4.2756931998317862,0.65585045562566191,-11.836858690925601
pmks_positive_0086,-4.282210597486011,0.52505518704937459,-11.862305569235458
